from_id;to_id;walk_t;walk_d;bike_s_t;bike_f_t;bike_d;pt_r_tt;pt_r_t;pt_r_d;pt_m_tt;pt_m_t;pt_m_d;car_r_t;car_r_d;car_m_t;car_m_d;car_sl_t
5785640;5816161;262;18370;74;47;18562;163;144;38353;160;134;22250;39;19744;35;19742;27
5785641;5816161;265;18575;88;55;21192;172;147;38559;171;137;22456;42;19955;38;19953;27
5785642;5816161;267;18693;88;55;21192;177;148;38677;171;138;22574;42;25618;38;25618;27
5785643;5816161;271;18986;60;38;13786;186;152;38970;171;143;22866;42;15658;38;15658;28
5787544;5816161;255;17880;71;45;18023;163;137;37864;153;127;21761;38;19318;34;19316;26
5787545;5816161;256;17949;71;45;18023;163;138;37933;153;128;21830;38;19604;34;19603;26
5787546;5816161;260;18175;71;45;18023;163;141;38159;155;131;22055;41;24645;38;24645;27
5787547;5816161;272;19074;88;55;21192;182;154;39058;171;144;22955;41;25036;38;25036;27
5787548;5816161;269;18802;88;55;21192;177;150;38785;171;140;22682;42;25157;38;25157;27
5787549;5816161;273;19094;88;55;21192;182;154;39078;171;144;22975;42;25400;38;25400;28
5787550;5816161;199;13928;60;38;13786;160;115;14575;133;90;17879;42;15457;38;15457;28
5789447;5816161;265;18550;72;46;18878;124;97;35097;139;109;34108;40;20086;36;20084;27
5789448;5816161;269;18831;72;46;18881;124;97;35117;139;110;34128;40;20451;36;20449;27
5789449;5816161;274;19179;74;47;19571;124;98;35178;139;110;34189;41;20876;37;20875;27
5789450;5816161;259;18116;74;47;19571;163;140;38100;155;130;21997;41;21195;37;21193;27
5789451;5816161;259;18155;71;45;18023;163;141;38138;155;131;22035;38;19565;34;19563;26
5789452;5816161;281;19646;71;45;18023;177;148;35652;178;152;23526;41;24544;37;24544;27
5789453;5816161;275;19280;88;55;21192;177;149;35688;172;147;23161;41;24721;38;24721;27
5789454;5816161;273;19084;88;55;21192;177;150;35775;171;144;22964;41;24984;38;24984;27
5789455;5816161;282;19714;60;38;13819;182;152;35952;182;153;23594;42;25205;38;25205;28
5789456;5816161;197;13767;60;38;13819;152;113;14414;133;88;17718;31;15367;29;15367;23
5791353;5816161;273;19096;74;47;19264;125;102;35457;145;114;34467;41;20501;37;20499;27
5791354;5816161;269;18864;73;47;19210;124;99;35225;145;111;34235;41;20267;37;20265;27
5791355;5816161;270;18894;73;46;19123;117;94;34886;139;106;33896;40;20448;36;20446;27
5791356;5816161;275;19241;75;47;19601;124;99;35234;145;111;34244;41;21073;37;21071;27
5791357;5816161;280;19566;74;47;19571;125;102;35302;145;114;34313;41;21187;37;21185;27
5791358;5816161;284;19903;74;47;19571;172;147;35541;179;156;23783;41;24038;37;24038;27
5791359;5816161;280;19628;74;47;19571;163;144;35343;168;152;23508;41;24362;37;24362;27
5791360;5816161;278;19437;88;55;21192;168;144;35398;172;149;23317;41;24730;37;24730;27
5791361;5816161;279;19513;60;38;13819;177;150;35751;176;150;23393;41;25084;37;25084;27
5791362;5816161;283;19824;60;38;13819;182;154;36062;182;155;23704;42;25392;38;25392;27
5791363;5816161;197;13762;60;38;13819;152;113;14409;133;88;17713;31;15263;29;15263;23
5793258;5816161;278;19482;74;47;19684;137;108;35843;151;120;34853;41;20940;37;20938;28
5793259;5816161;274;19182;74;47;19628;130;104;35542;145;116;34553;41;20780;37;20779;27
5793260;5816161;275;19216;73;46;19214;130;104;35577;145;116;34588;41;20744;37;20742;27
5793261;5816161;274;19177;74;47;19388;124;98;35021;139;110;34032;41;20525;37;20523;27
5793262;5816161;275;19283;74;47;19497;124;98;35019;139;110;34030;41;20950;37;20948;27
5793263;5816161;288;20177;74;47;19497;130;103;34602;145;115;33613;41;22056;37;22054;27
5793264;5816161;287;20109;74;47;19739;163;140;35088;168;154;39122;40;23982;37;23982;26
5793265;5816161;283;19800;74;47;19677;163;141;35128;169;154;39162;40;24315;37;24315;26
5793266;5816161;284;19860;79;50;19722;163;141;35137;169;155;39171;41;24512;37;24512;27
5793267;5816161;281;19674;79;50;19722;182;152;35912;182;152;23554;41;25307;37;25307;27
5793268;5816161;287;20071;60;38;13819;192;167;26457;187;158;23952;42;25533;38;25533;27
5793269;5816161;204;14271;61;39;13779;168;122;15091;133;98;18394;31;24346;29;24346;23
5793270;5816161;201;14090;61;39;13779;161;120;14910;133;95;18214;31;15371;29;15462;23
5795164;5816161;279;19557;74;47;19628;137;109;35918;151;121;34928;41;21064;37;21062;28
5795165;5816161;281;19639;74;47;19628;137;110;35999;151;122;35010;41;24420;37;22839;28
5795166;5816161;280;19569;74;47;19715;137;109;35929;151;121;34940;42;24269;38;22688;27
5795167;5816161;280;19577;74;47;19421;124;99;34320;145;111;33331;41;21076;37;21074;27
5795168;5816161;278;19474;74;47;19739;124;99;34321;145;111;33332;42;21637;38;21636;27
5795169;5816161;286;19990;74;47;19739;124;100;34415;145;112;33426;42;21860;38;21858;27
5795170;5816161;283;19839;74;47;19677;163;136;34818;165;150;38852;42;23721;38;23721;27
5795171;5816161;282;19758;73;47;19580;163;135;34737;165;149;38770;40;24022;37;24022;26
5795172;5816161;286;20039;79;50;19722;163;140;35071;167;154;39105;41;24465;37;24465;27
5795173;5816161;290;20268;79;50;19722;163;143;35300;170;157;39334;41;24555;37;24555;27
5795174;5816161;288;20130;79;50;19722;163;140;35110;168;154;39143;41;24189;37;24189;27
5795175;5816161;287;20068;79;50;19722;163;139;35047;168;153;39081;41;24326;37;24326;27
5795176;5816161;202;14126;58;37;13938;161;120;14947;133;96;18250;32;15421;29;15512;23
5797069;5816161;298;20856;79;50;21005;163;137;37895;175;149;36905;-1;-1;-1;-1;-1
5797070;5816161;282;19756;79;50;21005;137;112;36116;151;124;35127;42;21343;38;21341;28
5797071;5816161;284;19872;74;47;19715;137;113;36233;151;126;35244;42;24322;38;22741;28
5797072;5816161;285;19950;74;47;19715;124;100;34412;145;112;33422;42;24039;38;22458;27
5797073;5816161;282;19715;74;47;19715;124;96;34127;139;108;33137;41;24123;37;22542;27
5797074;5816161;280;19597;73;46;19470;117;94;34022;139;107;33033;41;21409;37;21407;26
5797075;5816161;283;19806;74;47;19677;124;97;34231;139;109;33242;42;21741;38;21739;27
5797076;5816161;279;19522;73;47;19580;158;132;34501;161;145;38535;42;23668;38;23668;27
5797077;5816161;281;19649;73;47;19580;158;133;34628;163;147;38662;40;24101;37;24101;26
5797078;5816161;285;19982;79;50;19722;163;138;34962;165;152;38995;41;24638;37;24638;27
5797079;5816161;284;19889;79;50;19722;163;137;34869;165;151;38902;41;24474;37;24474;27
5797080;5816161;285;19934;79;50;19722;163;138;34913;165;151;38947;41;23685;37;23685;27
5797081;5816161;285;19920;79;50;19722;163;137;34899;165;151;38933;41;24305;37;24305;27
5797082;5816161;200;13990;58;37;13938;147;118;14810;133;94;18114;32;15408;29;15499;23
5798974;5816161;297;20795;79;50;20775;158;141;44592;169;148;36844;47;32801;42;32805;27
5798975;5816161;287;20116;77;49;20321;142;117;36476;163;129;35487;42;21690;38;21688;29
5798976;5816161;287;20110;77;49;20321;142;117;36471;163;129;35481;42;21578;38;21576;28
5798977;5816161;287;20117;74;47;19715;142;117;36478;163;129;35488;41;24362;38;22781;27
5798978;5816161;279;19530;72;46;19139;124;97;33950;139;109;32961;41;23833;38;22252;27
5798979;5816161;276;19353;71;45;19028;120;95;33773;139;107;32784;42;24192;38;22610;27
5798980;5816161;276;19354;72;46;19148;120;95;33773;139;107;32784;41;21772;37;21770;26
5798981;5816161;280;19625;73;46;19448;124;98;34045;145;111;33056;42;22160;38;22158;27
5798982;5816161;276;19354;73;47;19580;153;129;34333;158;141;33344;42;23529;38;23529;27
5798983;5816161;275;19228;73;47;19580;153;127;34208;155;141;38241;40;23469;36;23469;26
5798984;5816161;275;19222;76;48;18990;152;127;34201;155;141;38234;40;23460;36;23460;26
5798985;5816161;280;19586;76;48;18990;158;133;34566;161;146;38599;40;23352;36;23352;26
5798986;5816161;278;19448;79;50;19722;153;131;34428;159;144;38461;40;23618;36;23618;26
5798987;5816161;281;19704;79;50;19722;158;134;34684;165;148;38717;41;24078;37;24078;27
5798988;5816161;200;13999;58;37;14236;147;119;14876;133;95;18179;32;15714;30;15805;24
5800879;5816161;298;20856;80;51;21145;144;105;43561;161;152;42066;43;32522;39;32526;28
5800880;5816161;301;21074;81;52;21479;150;109;43840;168;156;42344;47;32797;42;32801;27
5800881;5816161;290;20320;81;52;21479;143;120;36681;163;132;35692;42;32426;38;32429;29
5800882;5816161;278;19442;77;49;20321;137;116;34719;154;128;33730;41;23585;37;23585;27
5800883;5816161;278;19478;73;46;19461;142;117;34755;160;129;33766;41;23362;37;23362;27
5800884;5816161;277;19399;72;46;19138;124;96;33843;139;108;32853;41;23650;37;22069;26
5800885;5816161;273;19135;72;46;19127;116;92;33616;139;104;32626;40;23353;37;21772;26
5800886;5816161;271;18987;72;46;19124;117;94;33759;139;107;32770;40;23311;36;22062;26
5800887;5816161;273;19107;73;46;19448;124;98;34032;139;110;33043;40;22149;36;22147;26
5800888;5816161;265;18565;73;46;18237;143;118;33544;151;132;37578;39;22645;35;22645;25
5800889;5816161;271;18969;73;46;18237;150;124;33948;153;138;37982;40;23234;36;23234;26
5800890;5816161;272;19045;73;46;18360;150;125;34024;155;139;38058;40;23146;36;23146;26
5800891;5816161;275;19256;76;48;18933;153;128;34235;158;140;33246;40;23023;36;23023;26
5800892;5816161;274;19193;76;48;18990;152;127;34172;155;141;38206;40;23498;36;23498;26
5800893;5816161;276;19354;76;48;18990;153;129;34333;158;141;33344;40;24038;36;24038;26
5800894;5816161;199;13908;58;37;14236;152;123;15134;133;98;18437;32;15720;30;15811;24
5800895;5816161;195;13668;57;36;14067;147;120;14894;133;95;18198;32;15621;30;15711;24
5802783;5816161;305;21316;81;51;21261;140;104;43463;161;151;41967;43;32519;39;32523;28
5802784;5816161;302;21135;81;51;21261;134;102;43343;161;149;41848;43;32490;39;32494;28
5802785;5816161;305;21353;81;51;21467;146;106;43622;163;153;42127;43;31996;39;32000;28
5802786;5816161;280;19579;81;52;21479;143;118;34857;160;130;33867;41;32178;37;32182;27
5802787;5816161;276;19342;81;52;21479;137;115;34619;154;127;33630;41;23396;37;23396;27
5802788;5816161;273;19144;73;46;19471;137;112;34422;151;124;33432;40;23149;37;23149;26
5802789;5816161;273;19144;73;46;19471;137;112;34422;151;124;33433;41;23891;37;22310;27
5802790;5816161;274;19213;73;46;19521;124;96;33865;139;108;32876;41;23413;37;21832;27
5802791;5816161;267;18715;70;44;18549;120;95;33223;139;107;32233;39;22955;36;22955;26
5802792;5816161;271;18951;70;44;18549;124;98;33459;139;110;32470;40;23140;36;23140;26
5802793;5816161;262;18337;73;46;18237;137;115;33316;145;129;37350;39;22586;35;22586;25
5802794;5816161;267;18673;73;46;18237;143;120;33652;151;133;37686;39;22871;35;22871;25
5802795;5816161;267;18673;73;46;18360;143;120;33652;151;133;37686;40;22872;36;22872;26
5802796;5816161;268;18787;76;48;18920;143;121;33766;151;135;37800;39;23068;36;23068;26
5802797;5816161;274;19148;76;48;18975;150;126;34127;155;140;38161;40;23389;36;23389;26
5802798;5816161;276;19322;75;47;18647;153;129;34302;158;141;33312;40;23131;36;23131;26
5802799;5816161;198;13825;57;36;14078;154;128;15472;133;103;18776;33;15610;30;15610;24
5802800;5816161;194;13576;57;36;13972;150;124;15223;133;100;18526;32;15483;30;15483;23
5802801;5816161;192;13410;58;37;14132;147;122;14492;133;97;17796;33;15281;30;15281;24
5804689;5816161;314;22001;86;54;21167;131;102;43297;155;140;41205;45;32211;40;32214;28
5804690;5816161;306;21414;84;53;20941;129;99;43126;158;146;41631;44;32202;40;32206;28
5804691;5816161;315;22031;90;57;19881;142;107;43650;161;151;40529;46;32186;41;32190;26
5804692;5816161;317;22223;89;56;19791;150;109;43843;163;154;40721;46;32625;41;32629;28
5804693;5816161;276;19343;89;56;19791;137;115;34620;154;127;33631;40;23460;36;23460;26
5804694;5816161;270;18904;74;47;19649;137;108;34181;151;121;33192;40;23066;36;23066;26
5804695;5816161;269;18830;74;47;19649;137;107;34107;148;119;33118;42;23978;38;22397;27
5804696;5816161;265;18554;69;44;18271;116;93;33088;139;105;32098;39;22606;36;22606;25
5804697;5816161;264;18485;69;44;18309;116;91;32993;139;104;32004;39;22692;35;22692;25
5804698;5816161;272;19013;71;45;18907;124;99;33521;145;111;32532;40;23241;36;23241;26
5804699;5816161;259;18115;72;45;17995;137;112;33094;143;125;37128;39;22302;35;22302;25
5804700;5816161;258;18073;71;45;17862;137;111;33053;143;125;37086;38;22242;35;22242;25
5804701;5816161;262;18323;73;46;18346;137;115;33302;145;128;37336;39;22631;35;22631;25
5804702;5816161;263;18387;71;45;17996;137;115;33366;145;129;37400;39;22450;36;22450;26
5804703;5816161;265;18537;75;47;18647;143;118;33516;151;131;37550;40;22624;36;22624;26
5804704;5816161;267;18685;75;47;18647;143;120;33664;151;134;37698;40;23023;36;23023;26
5804705;5816161;200;13999;75;47;18647;151;130;15646;143;106;18950;40;15784;36;15784;26
5804706;5816161;199;13909;57;36;14077;151;129;15556;137;104;18860;33;15948;30;15948;24
5804707;5816161;202;14132;58;37;14132;154;132;15780;143;108;19083;33;15868;30;15868;24
5806593;5816161;315;22016;85;54;21260;124;102;43311;151;133;40767;45;32307;41;32311;28
5806594;5816161;309;21646;83;53;20853;126;96;42942;155;139;41125;44;31960;40;31964;28
5806595;5816161;309;21613;82;52;20750;127;96;42908;158;143;41413;44;31842;39;31846;27
5806596;5816161;311;21797;90;57;19881;134;103;43417;158;148;40295;46;31569;41;31572;26
5806597;5816161;317;22172;89;56;19791;146;109;43792;163;153;40670;47;32478;42;32482;29
5806598;5816161;321;22483;78;49;19289;155;140;43010;168;153;40981;46;32710;41;32714;29
5806599;5816161;268;18740;69;44;18342;137;106;34018;148;118;33028;40;22816;36;22816;26
5806600;5816161;264;18512;69;44;18342;130;103;33790;145;115;32801;39;22673;35;22673;25
5806601;5816161;262;18314;69;44;18271;117;94;33200;139;107;32211;39;22527;35;22527;25
5806602;5816161;266;18596;70;44;18506;116;93;33130;139;106;32140;39;22729;36;22729;25
5806603;5816161;268;18744;70;44;18549;124;96;33278;139;108;32289;39;22248;36;22248;26
5806604;5816161;259;18111;70;45;17714;137;112;33090;143;125;37124;38;22185;34;22185;25
5806605;5816161;254;17798;70;45;17714;137;107;32777;141;121;36810;38;22048;35;22048;25
5806606;5816161;257;17985;71;45;17987;137;110;32964;143;124;36998;38;22108;35;22108;25
5806607;5816161;260;18168;71;45;17994;137;112;33147;143;126;37180;39;22471;35;22471;25
5806608;5816161;264;18488;72;46;18212;142;117;33467;151;131;37501;39;22815;35;22815;25
5806609;5816161;269;18808;75;47;18647;145;121;33788;151;135;37821;40;22996;36;22996;26
5806610;5816161;197;13772;60;38;14726;146;129;32676;142;109;19163;34;16177;31;16177;24
5806611;5816161;199;13932;60;38;14726;151;133;15811;143;108;19114;34;16110;31;16110;24
5806612;5816161;191;13399;61;39;14940;154;137;14430;149;120;19947;34;16988;32;16988;25
5806613;5816161;180;12619;57;36;14167;154;126;13650;145;105;18372;33;15664;30;15664;24
5808496;5816161;319;22362;86;54;21643;125;107;43657;140;120;52794;46;32237;41;32241;29
5808497;5816161;319;22343;86;54;21566;132;106;43638;153;138;41118;46;32686;41;32690;29
5808498;5816161;318;22239;87;55;21436;134;105;43534;155;140;41240;46;32476;41;32480;29
