from_id;to_id;walk_t;walk_d;bike_s_t;bike_f_t;bike_d;pt_r_tt;pt_r_t;pt_r_d;pt_m_tt;pt_m_t;pt_m_d;car_r_t;car_r_d;car_m_t;car_m_d;car_sl_t
5785640;5879829;515;36027;152;96;37243;181;156;48060;223;192;48212;65;43544;58;43544;40
5785641;5879829;518;36233;163;103;40474;188;159;48266;228;187;55903;67;43755;59;43755;40
5785642;5879829;519;36351;163;103;40474;194;161;48384;228;189;56021;67;43582;59;41805;40
5785643;5879829;523;36644;172;109;42534;209;165;48677;228;193;56314;67;46138;60;44362;41
5787544;5879829;508;35538;149;94;36704;181;149;47571;210;181;47571;64;43118;57;43118;40
5787545;5879829;509;35607;149;94;36704;181;150;47640;210;182;47640;64;43405;57;43405;40
5787546;5879829;512;35833;149;94;36704;181;154;47866;223;189;48017;66;42608;59;40832;40
5787547;5879829;517;36211;163;103;40474;200;166;48765;226;194;56402;66;42999;59;41223;40
5787548;5879829;514;35985;163;103;40474;194;162;48493;223;190;56129;67;43121;59;41344;40
5787549;5879829;516;36119;163;103;40474;200;167;48785;225;195;56422;67;43364;60;41587;41
5787550;5879829;558;39067;172;109;42534;235;197;70128;229;186;66943;67;45937;60;44161;41
5789447;5879829;475;33263;139;88;34605;145;110;44804;172;142;44804;60;40929;53;40929;37
5789448;5879829;479;33544;139;88;34608;145;110;44825;172;142;44825;60;41294;53;41294;37
5789449;5879829;484;33892;142;90;35298;145;111;44885;172;143;44885;61;41719;54;41719;37
5789450;5879829;511;35774;142;90;35298;181;153;47807;223;188;47959;61;42038;54;42038;37
5789451;5879829;512;35812;149;94;36704;181;153;47846;223;189;47997;64;43365;57;43365;40
5789452;5879829;509;35647;149;94;36704;194;161;45359;214;182;50138;66;42507;59;40731;40
5789453;5879829;510;35683;163;103;40474;194;161;45396;214;182;50174;66;42684;59;40908;40
5789454;5879829;511;35770;163;103;40474;194;162;45483;216;183;50261;66;42948;59;41171;40
5789455;5879829;514;35946;172;109;42567;200;165;45659;223;193;53296;67;43169;60;41392;41
5789456;5879829;556;38906;172;109;42567;230;195;69967;229;184;66782;73;45847;66;44071;46
5791353;5879829;483;33809;138;87;34167;145;115;45164;178;147;45164;59;40519;52;40519;37
5791354;5879829;480;33577;141;89;34937;145;112;44932;178;144;44932;61;41110;54;41110;37
5791355;5879829;480;33606;140;89;34850;142;107;44593;172;139;44593;60;41291;54;41291;37
5791356;5879829;485;33954;142;90;35328;145;112;44941;178;144;44941;61;41916;54;41916;38
5791357;5879829;490;34278;142;90;35298;145;114;45009;178;146;45009;61;42030;54;42030;38
5791358;5879829;508;35536;142;90;35298;188;159;45248;210;180;50027;61;42002;54;40225;38
5791359;5879829;505;35338;142;90;35298;181;156;45051;202;177;49829;66;42325;59;40549;40
5791360;5879829;506;35392;163;103;40474;185;157;45105;205;178;49883;66;42693;59;40917;40
5791361;5879829;511;35746;172;109;42567;194;162;45458;214;183;50237;66;43047;59;41271;40
5791362;5879829;515;36057;172;109;42567;200;167;45769;225;195;53406;67;43356;59;41579;41
5791363;5879829;556;38901;172;109;42567;230;195;69962;229;184;66777;73;45743;66;43967;46
5793258;5879829;488;34195;142;90;35411;157;120;45550;185;152;45550;61;41783;55;41783;38
5793259;5879829;484;33895;141;90;35355;151;116;45250;178;148;45250;61;41623;54;41623;38
5793260;5879829;485;33929;140;89;34941;151;117;45284;178;149;45284;61;41587;54;41587;37
5793261;5879829;484;33889;141;89;35115;145;110;44729;172;142;44729;61;41368;54;41368;37
5793262;5879829;486;33996;142;90;35224;145;110;44727;172;142;44727;61;41793;54;41793;38
5793263;5879829;502;35151;142;90;35224;151;115;44310;178;147;44310;61;42899;54;42899;38
5793264;5879829;501;35082;145;92;36139;181;153;44795;197;173;49574;65;41946;58;40169;40
5793265;5879829;502;35123;144;91;36077;181;153;44836;200;174;49614;65;42278;58;40502;40
5793266;5879829;502;35132;154;98;39004;181;153;44845;200;174;49623;66;42475;58;40699;40
5793267;5879829;513;35906;154;98;39004;200;164;45619;220;192;53256;66;43270;58;41494;40
5793268;5879829;519;36304;172;109;42567;212;188;46761;228;198;53653;67;43497;59;41720;41
5793269;5879829;554;38767;169;107;42087;241;205;70644;229;194;67458;72;42309;65;40533;46
5793270;5879829;551;38586;169;107;42087;238;202;70463;229;191;67278;72;45198;65;43421;46
5795164;5879829;490;34270;141;90;35355;157;121;45625;185;153;45625;61;41907;54;41907;38
5795165;5879829;491;34351;141;90;35355;157;123;45706;185;155;45706;61;43684;54;43684;38
5795166;5879829;490;34281;147;93;36876;157;122;45636;185;154;45636;64;43533;57;43533;40
5795167;5879829;490;34289;141;89;35148;145;111;44028;178;143;44028;61;41919;54;41919;38
5795168;5879829;488;34187;145;92;36139;145;111;44028;178;143;44028;63;42480;56;42480;39
5795169;5879829;499;34964;145;92;36139;145;113;44123;178;145;44123;63;42703;56;42703;39
5795170;5879829;497;34813;144;91;36077;181;149;44525;197;170;49304;63;41685;56;39908;39
