from_id;to_id;walk_t;walk_d;bike_s_t;bike_f_t;bike_d;pt_r_tt;pt_r_t;pt_r_d;pt_m_tt;pt_m_t;pt_m_d;car_r_t;car_r_d;car_m_t;car_m_d;car_sl_t
5785640;5879918;306;21444;84;53;19944;129;114;23548;142;114;22363;34;21536;31;21536;22
5785641;5879918;269;18827;80;51;17340;137;117;23754;149;112;22569;31;21747;28;21747;20
5785642;5879918;270;18907;80;51;17340;141;119;23872;149;114;22687;31;16223;28;16223;20
5785643;5879918;274;19200;89;56;19400;149;123;24165;149;118;22980;31;18779;28;26088;20
5787544;5879918;299;20954;81;51;19405;129;107;23059;131;107;23059;34;21111;30;21111;22
5787545;5879918;300;21024;81;51;19405;129;108;23128;131;108;23128;34;21397;30;21397;22
5787546;5879918;304;21249;81;51;19405;129;111;23354;142;111;22168;31;15249;27;15249;20
5787547;5879918;267;18713;80;51;17340;144;124;26259;146;119;23068;31;15640;27;15640;20
5787548;5879918;264;18488;80;51;17340;140;120;23981;144;115;22795;31;15761;28;15761;20
5787549;5879918;266;18622;80;51;17340;144;124;26279;144;119;23088;31;16004;28;16004;20
5787550;5879918;303;21205;89;56;19400;166;132;35110;140;97;26828;31;18578;28;25886;20
5789447;5879918;260;18187;69;44;16643;81;60;20395;97;67;20292;30;18921;26;18921;19
5789448;5879918;260;18184;69;44;16640;81;61;20416;97;68;20313;30;19286;27;19286;19
5789449;5879918;261;18245;69;44;16776;81;62;20476;97;69;20373;31;19712;27;19712;19
5789450;5879918;303;21191;69;44;16776;129;110;23295;142;110;22110;31;20030;27;20030;19
5789451;5879918;303;21229;81;51;19405;129;111;23334;142;111;22148;34;21358;30;21358;22
5789452;5879918;259;18150;81;51;19405;140;120;21727;140;113;21668;30;15148;27;15148;20
5789453;5879918;260;18186;80;51;17340;140;121;21764;139;114;21704;31;15325;27;15325;20
5789454;5879918;261;18273;80;51;17340;140;122;21851;140;119;25083;31;15589;27;15589;20
5789455;5879918;264;18449;89;56;19433;144;123;21147;145;118;19962;31;15810;28;15810;20
5789456;5879918;301;21044;89;56;19433;159;129;34949;140;95;26667;37;18488;34;25797;26
5791353;5879918;265;18547;73;46;17693;85;66;20755;103;73;20652;29;18511;26;18511;18
5791354;5879918;262;18315;68;43;16485;81;62;20523;103;69;20420;31;19102;27;19102;19
5791355;5879918;255;17838;68;43;16398;77;57;20184;97;64;20081;30;19283;27;19283;19
5791356;5879918;256;17900;68;43;16346;81;62;20532;103;69;20429;31;19908;28;19908;19
5791357;5879918;257;17987;69;44;16776;85;65;20600;103;72;20497;31;20022;28;20022;19
5791358;5879918;258;18038;69;44;16776;137;119;21616;137;112;21556;31;14643;28;14643;19
5791359;5879918;255;17841;69;44;16776;129;114;22544;130;114;21359;30;14966;27;14966;20
5791360;5879918;256;17895;80;51;17340;133;115;22598;133;115;21413;30;15334;27;15334;20
5791361;5879918;261;18248;89;56;19433;140;122;21826;140;115;21766;30;15688;27;15688;20
5791362;5879918;265;18559;89;56;19433;144;124;21257;145;119;20072;31;15996;28;15996;20
5791363;5879918;301;21039;89;56;19433;159;129;34944;140;95;26662;37;18384;34;25692;26
