from_id;to_id;walk_t;walk_d;bike_s_t;bike_f_t;bike_d;pt_r_tt;pt_r_t;pt_r_d;pt_m_tt;pt_m_t;pt_m_d;car_r_t;car_r_d;car_m_t;car_m_d;car_sl_t
5785640;5879957;393;27540;110;69;27500;149;133;38618;177;146;35294;56;32348;50;33165;32
5785641;5879957;373;26109;115;73;26130;160;135;38824;183;144;35497;53;32559;47;33376;30
5785642;5879957;374;26188;115;73;26130;162;137;38942;183;146;35615;53;27042;47;27858;30
5785643;5879957;378;26481;96;61;22723;167;141;39235;183;150;35908;53;31406;47;28992;30
5787544;5879957;386;27051;107;68;26960;148;126;38129;163;127;38129;56;31922;49;32739;31
5787545;5879957;387;27120;107;68;26960;148;126;38198;163;127;38198;56;32209;49;33025;31
5787546;5879957;391;27345;107;68;26960;149;130;38424;177;144;35099;52;26068;46;26885;30
5787547;5879957;371;25995;115;73;26130;165;143;39323;180;151;35996;52;26459;46;27276;30
5787548;5879957;368;25769;115;73;26130;163;139;39050;177;148;35724;52;26580;47;27397;30
5787549;5879957;370;25904;115;73;26130;165;143;39343;177;152;36016;53;26824;47;27640;30
5787550;5879957;330;23090;96;61;22723;180;138;35004;176;133;31616;53;31205;47;28791;30
5789447;5879957;364;25469;104;66;25433;109;87;32561;119;87;35362;52;29733;45;30549;29
5789448;5879957;364;25466;104;66;25430;109;87;32581;119;87;35382;52;30097;45;30914;29
5789449;5879957;365;25526;104;66;25566;109;88;32642;119;88;35443;53;30523;46;31340;29
5789450;5879957;390;27287;104;66;25566;149;129;38365;177;143;35041;53;30842;46;31659;29
5789451;5879957;390;27325;107;68;26960;149;129;38403;177;143;35079;56;32169;49;32986;31
5789452;5879957;363;25431;107;68;26960;164;137;35917;170;146;34596;52;25967;46;26784;29
5789453;5879957;364;25467;115;73;26130;164;137;35954;170;146;34633;52;26144;46;26961;30
5789454;5879957;365;25554;115;73;26130;164;143;39332;172;150;37514;52;26408;46;27225;30
5789455;5879957;368;25730;96;61;22756;166;141;36217;177;150;32890;53;26629;47;27445;30
