from_id;to_id;walk_t;walk_d;bike_s_t;bike_f_t;bike_d;pt_r_tt;pt_r_t;pt_r_d;pt_m_tt;pt_m_t;pt_m_d;car_r_t;car_r_d;car_m_t;car_m_d;car_sl_t
5785640;5925869;469;32805;133;84;31175;150;140;45782;167;136;41207;58;35787;52;35787;33
5785641;5925869;439;30718;129;82;28570;159;143;45988;175;139;41412;59;35998;51;35998;33
5785642;5925869;440;30797;129;82;28570;162;145;46106;175;141;41530;59;35399;51;33623;33
5785643;5925869;444;31090;123;78;27999;170;149;46399;175;145;41823;59;37282;51;37494;33
5787544;5925869;462;32316;130;82;30635;149;133;45293;155;129;40717;57;35361;51;35362;32
5787545;5925869;463;32385;130;82;30635;149;134;45362;155;130;40786;57;35648;51;35648;32
5787546;5925869;466;32611;130;82;30635;150;137;45588;167;134;41012;58;34426;51;32649;33
5787547;5925869;437;30604;129;82;28570;166;150;46487;174;146;41911;58;34817;51;33041;33
5787548;5925869;434;30378;129;82;28570;163;146;46215;171;143;41639;59;34938;51;33162;33
5787549;5925869;436;30512;129;82;28570;166;150;46507;172;147;41931;59;35181;51;33405;33
5787550;5925869;405;28355;123;78;27999;172;130;39583;175;132;40787;59;37081;51;37292;33
5789447;5925869;430;30078;118;75;27873;110;93;33043;120;91;37950;53;33172;47;33172;30
5789448;5925869;430;30075;118;75;27870;110;93;33063;120;91;37971;54;33536;48;33537;30
5789449;5925869;431;30135;118;75;28006;110;94;33124;120;92;38031;55;33962;49;33962;30
5789450;5925869;465;32552;118;75;28006;150;136;45529;167;133;40954;55;34281;49;34281;30
5789451;5925869;466;32591;130;82;30635;150;137;45567;167;133;40992;57;35608;51;35609;32
5789452;5925869;429;30040;130;82;30635;164;144;43081;165;141;38506;58;34325;51;32549;33
5789453;5925869;430;30076;129;82;28570;164;145;43118;165;141;38542;58;34502;51;32726;33
5789454;5925869;431;30163;129;82;28570;164;146;43205;167;150;38703;58;34766;51;32989;33
5789455;5925869;433;30339;123;78;28032;167;149;43381;171;145;38805;59;34986;51;33210;33
5789456;5925869;403;28194;123;78;28032;165;128;39422;175;130;40626;61;36991;54;37203;37
5791353;5925869;435;30437;122;77;28923;114;98;33402;126;96;38310;53;32762;47;32762;29
5791354;5925869;432;30205;117;74;27716;110;95;33170;126;93;38078;54;33353;48;33353;30
5791355;5925869;425;29728;117;74;27628;105;90;32831;120;88;37739;54;33534;48;33534;30
5791356;5925869;426;29790;117;74;27576;110;95;33179;126;93;38087;55;34159;49;34159;30
5791357;5925869;427;29878;118;75;28006;114;98;33248;126;96;38155;55;34273;49;34273;30
5791358;5925869;428;29928;118;75;28006;161;143;42970;163;139;38394;55;33819;49;32043;30
5791359;5925869;425;29731;118;75;28006;152;140;42772;153;136;38197;58;34143;51;32366;33
5791360;5925869;426;29785;129;82;28570;156;141;42827;157;137;38251;58;34511;51;32734;33
5791361;5925869;431;30138;123;78;28032;164;146;43180;165;142;38604;58;34865;51;33089;33
5791362;5925869;435;30450;123;78;28032;168;150;43491;172;147;38916;59;35173;51;33397;33
5791363;5925869;403;28189;123;78;28032;165;128;39417;175;130;40621;61;36887;54;37098;37
5793258;5925869;440;30823;120;76;28673;122;103;33788;132;101;38696;55;34026;49;34026;31
5793259;5925869;436;30523;120;76;28617;116;99;33488;126;97;38396;54;33866;48;33867;30
5793260;5925869;437;30558;119;75;28203;116;100;33523;126;98;38430;54;33830;48;33830;30
5793261;5925869;423;29601;116;74;27363;110;94;32967;120;92;37875;54;33611;48;33611;30
5793262;5925869;421;29497;116;74;27405;110;93;32965;120;91;37873;55;34036;49;34036;30
5793263;5925869;422;29544;116;74;27405;117;98;32548;126;96;37456;55;35142;49;35142;30
5793264;5925869;421;29475;115;73;27117;152;136;42517;151;133;37941;57;33763;50;31987;32
5793265;5925869;422;29516;115;73;27055;152;137;42557;152;133;37982;57;34096;50;32320;32
5793266;5925869;422;29525;121;76;27100;152;137;42566;152;133;37991;58;34293;50;32517;32
5793267;5925869;433;30300;121;76;27100;166;148;43341;170;144;38765;58;35088;50;33312;32
5793268;5925869;439;30697;123;78;28032;175;151;39163;175;150;39163;59;35314;51;33538;33
5793269;5925869;407;28490;124;78;27993;181;138;40099;175;140;41302;61;34127;54;32350;37
5793270;5925869;404;28310;124;78;27993;174;135;39918;175;137;41122;61;36995;54;37297;37
5795164;5925869;441;30898;120;76;28617;123;105;33863;132;103;38771;55;34150;49;34150;31
5795165;5925869;443;30980;120;76;28617;124;106;33945;132;104;38852;55;35927;49;35927;31
5795166;5925869;442;30910;116;73;27093;123;105;33875;132;103;38782;58;35776;51;35776;32
5795167;5925869;418;29276;116;74;27330;110;94;32266;126;92;37174;55;34161;49;34162;30
5795168;5925869;418;29276;115;73;27117;110;94;32267;126;92;37174;56;34723;50;34723;31
5795169;5925869;419;29357;115;73;27117;110;96;32361;126;94;37269;56;34946;50;34946;31
5795170;5925869;417;29206;115;73;27055;154;133;42247;147;129;37672;56;33502;50;31726;31
5795171;5925869;416;29124;115;73;26958;154;131;42166;147;128;37590;57;33803;50;32027;32
5795172;5925869;421;29459;121;76;27100;152;136;42501;151;132;37925;58;34246;50;32469;32
5795173;5925869;424;29688;121;76;27100;152;139;42729;152;136;38153;58;34336;50;32560;32
5795174;5925869;421;29497;121;76;27100;152;137;42539;151;133;37963;58;33970;51;32194;33
5795175;5925869;420;29434;121;76;27100;152;136;42476;151;132;37900;58;34107;51;32331;33
5795176;5925869;405;28346;118;75;26911;174;136;39954;175;138;41158;59;33631;51;31855;34
5797069;5925869;430;30087;121;76;29464;138;101;31576;144;130;33020;-1;-1;-1;-1;-1
5797070;5925869;444;31097;121;76;29464;124;107;34062;132;105;38969;56;34429;50;34429;31
5797071;5925869;446;31214;116;73;27093;124;109;34179;132;107;39086;58;35829;52;35829;33
5797072;5925869;420;29367;116;73;27093;110;96;32357;126;94;37265;57;35545;51;35545;32
5797073;5925869;415;29082;116;73;27093;110;92;32072;120;90;36980;56;35630;49;35630;31
5797074;5925869;414;28964;115;73;26848;105;90;31968;120;88;36876;56;34494;49;34495;31
5797075;5925869;417;29173;115;73;27055;110;93;32176;120;91;37084;56;34827;50;34827;31
5797076;5925869;413;28889;115;73;26958;149;128;41930;144;124;37355;57;33449;51;31673;32
5797077;5925869;415;29015;115;73;26958;150;130;42057;146;126;37481;57;33882;50;32105;32
5797078;5925869;419;29349;121;76;27100;153;135;42391;147;131;37815;58;34419;50;32643;32
5797079;5925869;418;29256;121;76;27100;153;133;42298;147;130;37722;58;34255;50;32479;32
5797080;5925869;419;29301;121;76;27100;153;134;42342;147;130;37767;58;33466;51;31690;33
5797081;5925869;418;29287;121;76;27100;153;134;42329;147;130;37753;58;34086;51;32310;33
5797082;5925869;374;26204;118;75;26911;156;134;39818;160;136;41022;59;33618;51;31842;34
5798974;5925869;410;28714;116;74;28033;125;81;30203;126;111;31647;48;30572;43;30572;26
5798975;5925869;449;31457;123;78;29310;127;113;34422;144;110;39330;56;34776;50;34776;32
