from_id;to_id;walk_t;walk_d;bike_s_t;bike_f_t;bike_d;pt_r_tt;pt_r_t;pt_r_d;pt_m_tt;pt_m_t;pt_m_d;car_r_t;car_r_d;car_m_t;car_m_d;car_sl_t
5785640;5925763;453;31737;122;77;32525;164;140;38368;188;157;38368;47;33817;42;33817;29
5785641;5925763;451;31544;130;82;31766;171;143;38573;196;160;38573;50;34028;44;34028;29
5785642;5925763;452;31624;130;82;31766;177;145;38691;196;162;38691;50;33855;44;32078;29
5785643;5925763;456;31917;139;88;33826;189;149;38984;196;166;38984;50;36411;44;34635;29
5787544;5925763;446;31247;119;75;31985;164;133;37878;178;150;37878;46;33391;41;33391;28
5787545;5925763;447;31316;119;75;31985;164;134;37947;178;151;37947;46;33678;41;33678;28
5787546;5925763;451;31542;119;75;31985;164;137;38173;188;154;38173;49;32881;43;31104;28
5787547;5925763;449;31430;130;82;31766;183;150;39072;196;167;39072;49;33272;43;31495;28
5787548;5925763;446;31205;130;82;31766;177;146;38800;192;163;38800;49;33393;43;31617;29
5787549;5925763;448;31339;130;82;31766;183;150;39092;196;167;39092;50;33636;44;31860;29
5787550;5925763;490;34287;139;88;33826;212;178;62987;207;164;45458;50;36210;44;34434;29
5789447;5925763;414;28973;109;69;29887;126;93;35111;150;110;35111;42;31201;37;31201;25
5789448;5925763;418;29253;109;69;29890;126;94;35132;150;111;35132;43;31566;37;31566;25
5789449;5925763;423;29601;112;71;30580;126;95;35192;150;112;35192;44;31992;38;31992;26
5789450;5925763;450;31484;112;71;30580;164;136;38114;188;153;38114;44;32311;38;32311;26
5789451;5925763;450;31522;119;75;31985;164;137;38153;188;154;38153;46;33638;41;33638;28
5789452;5925763;441;30866;119;75;31985;177;144;35667;187;163;40445;49;32780;43;31004;28
5789453;5925763;441;30903;130;82;31766;177;145;35703;187;164;40481;49;32957;43;31180;28
5789454;5925763;443;30990;130;82;31766;177;146;35790;188;165;40568;49;33221;43;31444;28
5789455;5925763;445;31166;139;88;33859;183;149;35966;192;166;35966;50;33442;44;31665;29
5789456;5925763;488;34126;139;88;33859;206;176;62826;207;162;45297;56;36120;50;34344;35
5791353;5925763;422;29519;108;68;29448;126;99;35471;155;116;35471;42;30792;37;30792;25
5791354;5925763;418;29286;111;70;30219;126;95;35239;155;112;35239;43;31383;38;31383;26
5791355;5925763;419;29316;110;70;30131;116;90;34900;150;107;34900;43;31564;38;31564;25
5791356;5925763;424;29664;112;71;30610;126;95;35248;155;112;35248;44;32189;39;32189;26
5791357;5925763;428;29988;112;71;30580;126;98;35316;155;115;35316;44;32303;38;32303;26
5791358;5925763;439;30755;112;71;30580;172;143;35555;183;162;40334;44;32275;38;30498;26
5791359;5925763;437;30558;112;71;30580;165;140;35358;174;159;40136;49;32598;43;30821;28
5791360;5925763;437;30612;130;82;31766;168;141;35412;178;160;40190;49;32966;43;31189;28
5791361;5925763;442;30965;139;88;33859;177;146;35765;187;165;40544;49;33320;43;31544;28
5791362;5925763;447;31276;139;88;33859;183;150;36076;196;167;36076;49;33628;44;31852;29
5791363;5925763;487;34121;139;88;33859;206;176;62822;207;162;45292;56;36016;50;34239;35
5793258;5925763;427;29904;112;71;30693;138;104;35857;160;121;35857;44;32056;39;32056;26
5793259;5925763;423;29604;111;71;30637;132;100;35557;155;117;35557;43;31896;38;31896;26
5793260;5925763;423;29639;110;70;30223;132;100;35591;155;117;35591;43;31860;38;31860;26
5793261;5925763;423;29599;111;70;30397;126;94;35036;150;111;35036;44;31641;38;31641;26
5793262;5925763;424;29705;111;71;30505;126;94;35034;150;111;35034;44;32066;39;32066;26
5793263;5925763;434;30371;111;71;30505;132;99;34617;155;116;34617;44;33172;39;33172;26
5793264;5925763;433;30302;115;73;30313;165;136;35102;169;155;39881;48;32219;42;30442;28
5793265;5925763;433;30342;114;72;30251;165;137;35143;170;156;39921;48;32551;42;30775;28
5793266;5925763;434;30352;121;77;30295;165;137;35152;170;156;39930;48;32748;43;30972;28
5793267;5925763;445;31126;121;77;30295;183;148;35926;189;165;35926;48;33543;43;31767;28
5793268;5925763;450;31524;139;88;33859;195;172;37068;196;171;36324;49;33770;44;31993;29
5793269;5925763;486;33986;136;86;33378;216;185;63503;207;171;45973;55;32582;49;30805;34
5793270;5925763;483;33806;136;86;33378;213;183;63322;207;169;45792;55;35471;49;33694;34
5795164;5925763;428;29980;111;71;30637;139;105;35932;160;122;35932;44;32180;39;32180;26
5795165;5925763;429;30061;111;71;30637;139;106;36013;160;123;36013;44;33956;39;33956;26
5795166;5925763;428;29991;116;74;30288;139;105;35944;160;122;35944;47;33806;41;33806;28
5795167;5925763;429;29999;111;70;30430;126;95;34335;155;112;34335;44;32191;39;32191;26
5795168;5925763;427;29897;115;73;30313;126;95;34335;155;112;34335;45;32753;40;32753;27
5795169;5925763;431;30184;115;73;30313;126;96;34430;155;113;34430;45;32976;40;32976;27
5795170;5925763;429;30032;114;72;30251;165;133;34832;169;151;39611;45;31957;40;30181;27
5795171;5925763;428;29951;115;73;30153;165;131;34751;169;150;39530;48;32258;42;30482;28
5795172;5925763;433;30286;121;77;30295;165;136;35086;169;155;39864;48;32701;43;30924;28
5795173;5925763;436;30514;121;77;30295;165;139;35314;170;158;40093;48;32792;43;31015;28
5795174;5925763;433;30324;121;77;30295;165;137;35124;169;156;39902;49;32426;43;30649;28
5795175;5925763;432;30261;121;77;30295;165;136;35061;169;155;39840;49;32562;43;30786;28
5795176;5925763;483;33842;119;75;30106;213;183;63359;207;169;45829;49;32086;44;30310;29
5797069;5925763;400;28009;105;67;28757;158;129;44377;161;143;34206;-1;-1;-1;-1;-1
5797070;5925763;431;30178;105;67;28757;139;108;36130;160;125;36130;45;32459;40;32459;27
5797071;5925763;433;30295;116;74;30288;139;110;36247;160;127;36247;47;33859;42;33859;28
5797072;5925763;431;30194;116;74;30288;126;96;34426;155;113;34426;47;33575;41;33575;28
5797073;5925763;427;29909;116;74;30288;126;92;34141;150;109;34141;45;33660;39;33660;26
5797074;5925763;426;29791;114;72;30043;116;91;34037;150;108;34037;45;32524;39;32524;26
5797075;5925763;429;29999;114;72;30251;126;94;34245;150;111;34245;45;32857;40;32857;27
