from_id;to_id;walk_t;walk_d;bike_s_t;bike_f_t;bike_d;pt_r_tt;pt_r_t;pt_r_d;pt_m_tt;pt_m_t;pt_m_d;car_r_t;car_r_d;car_m_t;car_m_d;car_sl_t
5785640;5925770;443;30988;120;76;31565;168;144;36731;191;160;36731;50;33088;44;33088;30
5785641;5925770;433;30328;128;81;30806;175;147;36937;199;163;36937;52;33298;46;33298;30
5785642;5925770;434;30407;128;81;30806;181;149;37055;199;165;37055;52;33125;46;31349;30
5785643;5925770;439;30700;137;87;32866;193;153;37348;199;169;37348;52;35682;46;33905;31
5787544;5925770;436;30498;117;74;31025;168;137;36242;180;153;36242;49;32662;43;32662;30
5787545;5925770;437;30568;117;74;31025;168;138;36311;180;154;36311;49;32948;43;32948;30
5787546;5925770;440;30793;117;74;31025;168;141;36536;191;157;36536;52;32151;45;30375;30
5787547;5925770;432;30214;128;81;30806;187;154;37436;199;170;37436;52;32542;45;30766;30
5787548;5925770;428;29988;128;81;30806;181;150;37163;195;166;37163;52;32664;46;30887;30
5787549;5925770;430;30123;128;81;30806;187;154;37456;199;170;37456;52;32907;46;31131;31
5787550;5925770;467;32705;137;87;32866;216;182;61351;201;158;40609;52;35480;46;33704;31
5789447;5925770;403;28224;108;68;28927;133;97;33475;146;113;33475;45;30472;39;30472;27
5789448;5925770;407;28504;108;68;28930;133;98;33495;146;114;33495;45;30837;40;30837;27
5789449;5925770;412;28852;110;70;29620;133;99;33556;146;115;33556;46;31263;41;31263;27
5789450;5925770;439;30735;110;70;29620;168;140;36478;191;156;36478;46;31581;41;31581;27
5789451;5925770;440;30773;117;74;31025;168;141;36516;191;157;36516;49;32909;43;32909;30
5789452;5925770;424;29650;117;74;31025;181;148;34030;190;164;34030;51;32050;45;30274;30
5789453;5925770;424;29686;128;81;30806;181;149;34066;190;165;34066;52;32227;45;30451;30
5789454;5925770;425;29773;128;81;30806;181;150;34153;191;169;38932;52;32491;45;30715;30
5789455;5925770;428;29950;137;87;32899;187;153;34330;195;169;34330;52;32712;46;30936;31
5789456;5925770;465;32544;137;87;32899;210;180;61190;201;156;40449;58;35391;52;33614;36
5791353;5925770;411;28770;106;67;28488;133;103;33834;152;119;33834;44;30062;39;30062;26
5791354;5925770;408;28538;109;69;29259;133;99;33602;152;115;33602;46;30654;40;30654;27
