from_id;to_id;walk_t;walk_d;bike_s_t;bike_f_t;bike_d;pt_r_tt;pt_r_t;pt_r_d;pt_m_tt;pt_m_t;pt_m_d;car_r_t;car_r_d;car_m_t;car_m_d;car_sl_t
5785640;5925873;476;33317;135;86;31987;155;144;47481;174;143;42167;62;36919;55;36919;35
5785641;5925873;446;31243;132;83;29382;164;147;47687;182;146;42373;60;37129;52;37130;33
5785642;5925873;447;31322;132;83;29382;167;148;47805;182;148;42491;60;36531;52;34755;33
5785643;5925873;452;31615;126;80;28811;175;153;48098;182;152;42784;61;38413;52;38625;33
5787544;5925873;469;32828;132;84;31447;153;137;46992;162;136;41678;61;36493;54;36493;34
5787545;5925873;470;32897;132;84;31447;153;138;47061;162;137;41747;61;36779;54;36779;34
5787546;5925873;473;33123;132;84;31447;155;141;47287;174;140;41972;60;35557;52;33781;33
5787547;5925873;445;31128;132;83;29382;171;154;48186;180;153;42872;60;35948;52;34172;33
5787548;5925873;441;30903;132;83;29382;168;150;47914;178;149;42599;60;36069;52;34293;33
5787549;5925873;443;31037;132;83;29382;171;154;48206;178;154;42892;61;36313;52;34536;33
5787550;5925873;412;28867;126;80;28811;180;139;40423;180;137;46586;61;38212;52;38424;33
5789447;5925873;437;30602;121;76;28685;112;92;35272;127;98;38911;57;34303;50;34303;31
5789448;5925873;437;30600;121;76;28682;112;93;35293;127;98;38931;57;34668;50;34668;31
5789449;5925873;438;30660;121;76;28818;112;94;35353;127;99;38992;58;35094;51;35094;32
5789450;5925873;472;33064;121;76;28818;155;140;47228;174;140;41914;58;35412;51;35412;32
5789451;5925873;473;33102;132;84;31447;155;141;47267;174;140;41952;61;36740;54;36740;34
5789452;5925873;437;30565;132;84;31447;169;148;44780;172;148;39466;60;35456;51;33680;32
5789453;5925873;437;30601;132;83;29382;169;149;44817;172;148;39502;60;35633;52;33857;33
5789454;5925873;438;30688;132;83;29382;169;150;44904;173;157;48937;60;35897;52;34121;33
5789455;5925873;441;30864;126;80;28844;173;152;45080;178;152;39766;61;36118;52;34342;33
5789456;5925873;410;28706;126;80;28844;173;137;40262;180;134;46426;62;38122;54;38334;37
5791353;5925873;442;30962;125;79;29735;115;98;35632;133;103;39270;56;33893;50;33894;31
5791354;5925873;439;30730;120;76;28528;112;94;35400;133;99;39038;58;34484;51;34485;32
5791355;5925873;432;30253;120;76;28440;107;89;35061;127;95;38699;58;34665;51;34665;31
5791356;5925873;433;30315;119;76;28389;112;94;35409;133;100;39047;58;35290;52;35290;32
5791357;5925873;434;30402;121;76;28818;115;97;35477;133;102;39116;58;35404;51;35404;32
5791358;5925873;435;30453;121;76;28818;167;147;44669;169;146;39355;58;34951;51;33174;32
5791359;5925873;432;30256;121;76;28818;158;144;44472;160;143;39157;60;35274;51;33498;32
5791360;5925873;433;30310;132;83;29382;162;144;44526;164;144;39211;60;35642;51;33866;32
5791361;5925873;438;30664;126;80;28844;169;150;44879;172;149;39565;60;35996;51;34220;32
5791362;5925873;442;30974;126;80;28844;174;154;45190;178;153;39876;60;36305;52;34528;33
5791363;5925873;410;28701;126;80;28844;173;137;40258;180;134;46421;62;38018;54;38230;37
5793258;5925873;448;31348;123;78;29485;124;103;36018;139;108;39656;59;35158;52;35158;32
5793259;5925873;444;31048;123;78;29429;118;99;35718;133;104;39356;58;34998;51;34998;32
5793260;5925873;444;31082;121;77;29015;118;99;35752;133;105;39391;58;34961;51;34962;32
5793261;5925873;430;30126;119;75;28175;112;93;35197;127;98;38835;58;34742;51;34743;32
5793262;5925873;429;30022;119;75;28218;112;93;35195;127;98;38833;58;35167;52;35167;32
5793263;5925873;430;30069;119;75;28218;119;98;34778;133;103;38416;59;36273;52;36273;32
5793264;5925873;429;30000;118;75;27929;158;140;44216;157;140;38902;59;34895;51;33119;32
5793265;5925873;429;30041;118;75;27867;158;141;44256;159;140;38942;59;35227;51;33451;32
5793266;5925873;429;30050;123;78;27912;158;141;44266;159;140;38951;59;35424;51;33648;32
5793267;5925873;440;30824;123;78;27912;171;152;45040;177;151;39726;59;36219;51;34443;32
5793268;5925873;446;31222;126;80;28844;180;158;40123;182;157;40123;60;36446;52;34669;33
5793269;5925873;414;29002;126;80;28805;189;146;40939;180;144;47102;62;35258;54;33482;37
5793270;5925873;412;28821;126;80;28805;182;144;40758;180;141;46921;62;38126;54;38429;37
5795164;5925873;449;31423;123;78;29429;125;104;36093;139;109;39731;58;35282;52;35282;32
5795165;5925873;450;31504;123;78;29429;127;105;36174;139;111;39813;58;37058;52;37058;32
5795166;5925873;449;31435;118;75;27905;125;104;36105;139;110;39743;61;36907;52;36907;33
5795167;5925873;426;29800;119;75;28142;112;94;34496;133;99;38134;59;35293;51;35293;32
5795168;5925873;426;29801;118;75;27929;112;94;34496;133;99;38135;60;35855;52;35855;33
5795169;5925873;427;29882;118;75;27929;112;95;34591;133;100;38229;60;36077;52;36077;33
5795170;5925873;425;29731;118;75;27867;160;136;43946;154;136;38632;60;34634;52;32857;33
5795171;5925873;424;29649;117;74;27770;160;135;43865;154;135;38551;59;34935;51;33158;32
5795172;5925873;428;29984;123;78;27912;158;140;44200;157;139;38885;59;35377;51;33601;32
5795173;5925873;432;30212;123;78;27912;158;143;44428;159;143;39114;59;35468;51;33692;32
5795174;5925873;429;30022;123;78;27912;158;140;44238;157;140;38923;60;35102;52;33326;33
5795175;5925873;428;29959;123;78;27912;158;139;44175;157;139;38861;60;35239;52;33462;33
