from_id;to_id;walk_t;walk_d;bike_s_t;bike_f_t;bike_d;pt_r_tt;pt_r_t;pt_r_d;pt_m_tt;pt_m_t;pt_m_d;car_r_t;car_r_d;car_m_t;car_m_d;car_sl_t
5785640;5925846;399;27960;115;73;27214;141;127;32713;163;133;39720;55;31233;48;31523;31
5785641;5925846;362;25344;111;71;24609;150;130;32919;170;133;31543;55;31444;48;31734;31
5785642;5925846;363;25423;111;71;24609;153;132;33037;170;135;31661;55;30845;48;29359;31
5785643;5925846;367;25716;109;69;26496;163;136;33330;170;139;31954;55;33067;48;33068;31
5787544;5925846;392;27470;112;71;26675;139;120;32224;151;126;39230;54;30807;47;31098;30
5787545;5925846;393;27540;112;71;26675;139;121;32293;151;127;39299;54;31093;47;31384;30
5787546;5925846;397;27765;112;71;26675;141;125;32518;163;130;39525;55;29871;47;28385;31
5787547;5925846;360;25230;111;71;24609;158;137;33418;168;140;32042;55;30262;47;28777;31
5787548;5925846;357;25004;111;71;24609;155;134;33145;166;137;31769;55;30384;48;28898;31
5787549;5925846;359;25138;111;71;24609;158;138;33438;167;141;32062;55;30627;48;29141;31
5787550;5925846;383;26812;109;69;26496;166;126;38096;167;124;42683;55;32865;48;32867;31
5789447;5925846;353;24703;100;64;23912;101;81;29457;115;86;36464;50;28617;44;28908;28
5789448;5925846;353;24700;100;64;23909;101;81;29477;115;86;36484;50;28982;44;29273;28
5789449;5925846;354;24761;100;64;24045;101;82;29538;115;87;36544;51;29408;45;29699;28
5789450;5925846;396;27707;100;64;24045;141;124;32460;163;129;39467;51;29727;45;30017;28
5789451;5925846;396;27745;112;71;26675;141;124;32498;163;130;39505;54;31054;47;31345;30
5789452;5925846;352;24666;112;71;26675;155;132;30012;159;135;28636;54;29771;47;28285;31
5789453;5925846;353;24702;111;71;24609;155;132;30048;159;135;28672;55;29947;47;28462;31
5789454;5925846;354;24789;111;71;24609;155;134;30135;161;140;34169;55;30211;47;28725;31
5789455;5925846;357;24965;109;69;26529;159;136;30312;166;139;28936;55;30432;48;28946;31
5789456;5925846;381;26651;109;69;26529;159;123;37935;167;122;42522;58;32776;51;32777;35
5791353;5925846;358;25063;104;66;24962;104;86;29817;121;91;36823;49;28208;43;28498;27
5791354;5925846;355;24831;100;63;23755;101;83;29584;121;88;36591;51;28799;44;29089;28
5791355;5925846;348;24354;99;63;23668;95;78;29246;115;83;36252;51;28979;44;29270;28
5791356;5925846;349;24416;99;63;23616;101;83;29594;121;88;36600;51;29605;45;29895;28
5791357;5925846;350;24503;100;64;24045;104;86;29662;121;91;36668;51;29719;45;30009;28
