from_id;to_id;walk_t;walk_d;bike_s_t;bike_f_t;bike_d;pt_r_tt;pt_r_t;pt_r_d;pt_m_tt;pt_m_t;pt_m_d;car_r_t;car_r_d;car_m_t;car_m_d;car_sl_t
5785640;5925881;487;34062;142;90;33544;172;162;40354;189;159;44314;59;36495;52;36476;33
5785641;5925881;458;32078;139;88;30940;181;164;40560;197;161;44519;56;36706;49;36687;31
5785642;5925881;459;32158;139;88;30940;184;166;40677;197;163;44637;56;31189;49;31170;31
5785643;5925881;464;32451;128;81;29708;192;170;40970;197;167;44930;56;35553;49;35537;31
5787544;5925881;480;33573;139;88;33005;171;155;39864;178;152;43824;58;36069;51;36050;32
5787545;5925881;481;33642;139;88;33005;171;155;39933;178;152;43893;58;36356;51;36337;32
5787546;5925881;484;33868;139;88;33005;172;159;40159;189;156;44119;55;30215;49;30196;31
5787547;5925881;457;31964;139;88;30940;188;172;41058;196;169;45018;55;30606;49;30587;31
5787548;5925881;453;31739;139;88;30940;185;168;40786;193;165;44746;56;30727;49;30708;31
5787549;5925881;455;31873;139;88;30940;188;172;41078;194;169;45038;56;30970;49;30952;31
5787550;5925881;423;29612;128;81;29708;194;153;42690;197;155;43894;56;35352;49;35335;31
5789447;5925881;449;31438;128;81;30243;132;115;36150;143;112;41057;54;33879;47;33861;30
5789448;5925881;449;31435;128;81;30240;132;115;36170;143;112;41078;54;34244;48;34226;30
5789449;5925881;450;31496;128;81;30376;132;116;36231;143;113;41138;55;34670;49;34651;30
5789450;5925881;483;33809;128;81;30376;172;158;40101;189;155;44060;55;34989;49;34970;30
5789451;5925881;484;33848;139;88;33005;172;158;40139;189;155;44099;58;36316;51;36297;32
5789452;5925881;449;31400;139;88;33005;186;166;37653;188;163;41612;55;30114;48;30095;31
5789453;5925881;449;31437;139;88;30940;186;166;37689;188;163;41649;55;30291;49;30272;31
5789454;5925881;450;31524;139;88;30940;186;168;37776;189;169;45028;55;30555;49;30536;31
5789455;5925881;453;31700;128;81;29741;189;170;37952;193;167;41912;56;30776;49;30757;31
5789456;5925881;421;29451;128;81;29741;187;150;42529;197;152;43733;57;35262;51;35246;35
5791353;5925881;454;31798;132;84;31293;135;120;36509;149;117;41417;53;33470;47;33451;29
5791354;5925881;451;31566;127;80;30085;132;117;36277;149;114;41185;55;34061;48;34042;30
