from_id;to_id;walk_t;walk_d;bike_s_t;bike_f_t;bike_d;pt_r_tt;pt_r_t;pt_r_d;pt_m_tt;pt_m_t;pt_m_d;car_r_t;car_r_d;car_m_t;car_m_d;car_sl_t
5785640;5925830;350;24508;99;63;24709;128;116;28938;145;117;26450;46;24971;41;24971;27
5785641;5925830;313;21892;98;62;22105;136;119;29144;150;114;26656;48;25181;43;25181;27
5785642;5925830;314;21971;98;62;22105;138;120;29262;152;116;26774;48;24583;43;22806;27
5785643;5925830;318;22264;107;68;24165;146;125;29555;153;120;27067;48;27139;43;31347;27
5787544;5925830;343;24019;96;61;24170;125;109;28449;135;110;25961;45;24545;40;24545;26
5787545;5925830;344;24088;96;61;24170;125;110;28518;135;111;26030;45;24831;40;24831;26
5787546;5925830;347;24314;96;61;24170;128;113;28744;143;115;26256;48;23609;42;21833;27
5787547;5925830;311;21778;98;62;22105;143;126;29643;154;121;27155;48;24000;42;22224;27
5787548;5925830;308;21552;98;62;22105;141;122;29370;150;118;26883;48;24122;42;22345;27
5787549;5925830;310;21687;98;62;22105;143;126;29663;154;122;27175;48;24365;43;22588;27
5787550;5925830;347;24269;107;68;24165;163;130;31906;153;111;38313;48;26938;43;31146;27
5789447;5925830;304;21252;87;55;21408;86;68;23194;106;71;23194;41;22355;36;22355;23
5789448;5925830;304;21249;87;55;21405;86;68;23214;106;71;23214;41;22720;36;22720;23
5789449;5925830;304;21309;87;55;21541;86;69;23275;106;72;23275;42;23146;37;23146;24
5789450;5925830;347;24255;87;55;21541;128;112;28685;143;114;26197;42;23464;37;23464;24
5789451;5925830;347;24293;96;61;24170;128;113;28723;143;114;26236;45;24792;40;24792;26
5789452;5925830;303;21214;96;61;24170;141;120;26237;144;116;23749;47;23508;42;21732;26
5789453;5925830;304;21250;98;62;22105;141;121;26274;144;116;23786;48;23685;42;21909;27
5789454;5925830;305;21337;98;62;22105;141;122;26360;146;122;27164;47;23949;42;22173;26
5789455;5925830;307;21514;107;68;24198;146;125;26537;150;120;24049;48;24170;43;22393;27
5789456;5925830;344;24108;107;68;24198;158;127;31745;154;108;38152;54;26848;48;31056;33
5791353;5925830;309;21612;85;54;21714;89;73;23554;111;76;23554;40;21945;36;21945;23
5791354;5925830;305;21380;87;55;21250;86;70;23322;111;73;23322;42;22537;37;22537;24
5791355;5925830;299;20902;86;55;21163;80;65;22983;106;68;22983;41;22717;37;22717;23
5791356;5925830;299;20964;86;55;21111;86;70;23331;111;73;23331;42;23342;38;23342;24
5791357;5925830;301;21052;87;55;21541;89;73;23399;111;76;23399;42;23456;37;23456;24
5791358;5925830;301;21103;87;55;21541;140;119;26126;141;114;23638;42;23003;37;21226;24
5791359;5925830;299;20905;87;55;21541;135;116;25928;134;117;23440;47;23326;42;21550;26
5791360;5925830;299;20959;98;62;22105;137;117;25983;137;112;23495;47;23694;42;21918;26
5791361;5925830;304;21313;107;68;24198;141;122;26336;144;117;23848;47;24048;42;22272;26
5791362;5925830;309;21624;107;68;24198;146;126;26647;152;122;24159;48;24357;43;22580;27
5791363;5925830;344;24103;107;68;24198;158;127;31740;154;108;38147;54;26744;48;30952;33
5793258;5925830;314;21998;89;57;22208;96;79;23940;116;82;23940;42;23210;38;23210;24
