from_id;to_id;walk_t;walk_d;bike_s_t;bike_f_t;bike_d;pt_r_tt;pt_r_t;pt_r_d;pt_m_tt;pt_m_t;pt_m_d;car_r_t;car_r_d;car_m_t;car_m_d;car_sl_t
5785640;5925888;504;35289;146;92;34877;202;191;44200;211;180;46221;65;38449;57;38464;37
5785641;5925888;478;33425;144;91;32272;211;194;44406;220;183;46427;62;38660;54;38675;35
5785642;5925888;479;33504;144;91;32272;212;195;44523;220;184;46544;62;33143;54;33157;35
5785643;5925888;483;33797;132;83;30471;221;200;44816;220;189;46837;62;37507;54;37524;35
5787544;5925888;497;34800;143;90;34338;199;184;43710;198;170;45731;64;38023;56;38038;36
5787545;5925888;498;34868;143;90;34338;199;185;43779;198;171;45800;64;38310;56;38324;36
5787546;5925888;501;35094;143;90;34338;202;188;44005;211;177;46026;61;32169;54;32184;35
5787547;5925888;476;33311;144;91;32272;215;201;44904;219;190;48672;61;32560;54;32575;35
5787548;5925888;473;33086;144;91;32272;214;197;44632;218;186;48399;61;32681;54;32696;35
5787549;5925888;475;33220;144;91;32272;215;201;44924;218;190;48692;62;32925;54;32939;35
5787550;5925888;441;30838;132;83;30471;225;185;45979;211;168;52386;62;37306;54;37323;35
5789447;5925888;468;32785;133;84;31575;164;145;49046;160;130;42964;60;35834;53;35848;34
5789448;5925888;468;32782;133;84;31572;164;146;49067;160;131;42985;60;36199;53;36213;34
5789449;5925888;469;32843;133;84;31708;164;146;49127;160;131;43046;61;36624;54;36639;34
5789450;5925888;501;35036;133;84;31708;202;187;43947;211;176;45968;61;36943;54;36958;34
5789451;5925888;501;35074;143;90;34338;202;188;43985;211;177;46006;64;38270;56;38285;36
5789452;5925888;468;32747;143;90;34338;214;195;41499;210;189;52009;61;32068;53;32083;34
5789453;5925888;468;32784;144;91;32272;214;196;41535;210;190;52045;61;32245;54;32260;35
5789454;5925888;470;32870;144;91;32272;214;201;44914;213;191;52132;61;32509;54;32524;35
5789455;5925888;472;33047;132;83;30504;218;200;41798;218;189;45566;62;32730;54;32744;35
5789456;5925888;438;30678;132;83;30504;219;183;45818;213;166;52226;63;37216;56;37233;39
5791353;5925888;473;33145;137;87;32625;168;150;49406;167;135;43324;59;35424;52;35439;33
5791354;5925888;470;32913;133;84;31418;164;147;49174;167;132;43092;61;36015;53;36030;34
5791355;5925888;463;32436;132;84;31331;158;142;48835;160;127;42753;61;36196;53;36210;34
5791356;5925888;464;32498;132;84;31279;164;147;49183;167;132;43101;61;36821;54;36836;34
5791357;5925888;466;32585;133;84;31708;168;150;49251;167;135;43170;61;36935;54;36950;34
5791358;5925888;466;32636;133;84;31708;213;194;41387;209;187;51898;61;31563;54;31577;34
5791359;5925888;463;32438;133;84;31708;207;191;41190;196;185;51700;61;31886;53;31901;34
5791360;5925888;464;32493;144;91;32272;210;192;41244;201;185;51754;61;32254;53;32269;34
5791361;5925888;469;32846;132;83;30504;214;197;41598;210;190;52108;61;32608;53;32623;34
5791362;5925888;474;33157;132;83;30504;218;201;41909;218;190;45676;61;32917;54;32931;35
5791363;5925888;438;30673;132;83;30504;219;182;45814;213;165;52221;63;37112;56;37129;39
5793258;5925888;479;33531;136;86;32375;173;156;49792;173;141;43710;62;36688;54;36703;35
5793259;5925888;475;33230;135;86;32319;169;152;49492;167;137;43410;61;36528;53;36543;34
5793260;5925888;475;33265;134;85;31905;169;152;49526;167;137;43444;61;36492;53;36507;34
5793261;5925888;462;32309;132;83;31065;164;146;48971;160;131;42889;61;36273;53;36288;34
5793262;5925888;460;32204;132;83;31108;164;146;48969;160;131;42887;61;36698;54;36713;34
5793263;5925888;461;32252;132;83;31108;171;151;48552;167;136;42470;62;37804;54;37819;34
5793264;5925888;460;32183;131;83;30819;207;187;40934;193;181;51444;60;31507;53;31521;34
5793265;5925888;460;32223;130;83;30757;207;188;40975;196;182;51485;60;31839;53;31854;34
5793266;5925888;460;32232;136;86;30802;207;188;40984;196;182;51494;61;32036;53;32051;34
5793267;5925888;472;33007;136;86;30802;215;199;41758;218;188;45526;61;32831;53;32846;34
5793268;5925888;477;33404;132;83;30504;223;205;42156;220;194;45923;61;33058;54;33072;35
5793269;5925888;442;30974;132;84;30464;235;192;46495;211;175;52902;63;31870;56;31885;39
5793270;5925888;440;30793;132;84;30464;229;190;46314;211;173;52721;63;37220;56;37328;39
5795164;5925888;480;33606;135;86;32319;176;157;49867;173;142;43785;61;36812;54;36827;35
5795165;5925888;481;33687;135;86;32319;179;158;49948;173;143;43866;61;38589;54;38603;35
5795166;5925888;480;33617;131;83;30795;176;157;49879;173;142;43797;62;38438;54;38453;35
5795167;5925888;457;31983;131;83;31032;164;147;48270;167;132;42188;61;36824;53;36838;34
5795168;5925888;457;31984;131;83;30819;164;147;48270;167;132;42188;62;37385;54;37400;35
5795169;5925888;458;32065;131;83;30819;164;148;48365;167;133;42283;62;37608;54;37622;35
5795170;5925888;456;31913;130;83;30757;207;183;40665;189;169;42686;61;31246;54;31260;35
5795171;5925888;455;31832;130;82;30660;207;182;40583;189;168;42604;60;31547;53;31561;34
5795172;5925888;460;32166;136;86;30802;207;187;40918;193;181;51428;61;31989;53;32004;34
5795173;5925888;463;32395;136;86;30802;207;190;41146;196;184;51657;61;32080;53;32094;34
5795174;5925888;460;32205;136;86;30802;207;187;40956;193;181;51466;61;31714;53;31728;35
5795175;5925888;459;32142;136;86;30802;207;187;40893;193;180;51404;61;31851;53;31865;35
5795176;5925888;440;30829;130;82;30613;229;190;46351;211;173;52758;61;31374;54;31389;35
5797069;5925888;486;34045;136;86;33166;182;138;39617;192;170;41062;-1;-1;-1;-1;-1
5797070;5925888;483;33804;136;86;33166;179;160;50065;173;145;43983;62;37091;55;37106;36
5797071;5925888;485;33921;131;83;30795;179;162;50182;173;147;44100;62;38491;54;38506;35
5797072;5925888;458;32074;131;83;30795;164;148;48361;167;133;42279;61;38207;54;38222;35
5797073;5925888;454;31790;131;83;30795;164;144;48076;160;129;41994;61;38292;53;38307;34
5797074;5925888;452;31672;130;82;30550;158;143;47972;160;128;41890;61;37156;53;37171;34
5797075;5925888;455;31880;130;83;30757;164;145;48180;160;130;42098;61;37489;54;37504;35
5797076;5925888;451;31596;130;82;30660;203;179;40348;186;165;42369;61;31193;54;31207;35
5797077;5925888;453;31723;130;82;30660;203;181;40474;188;167;42495;60;31625;53;31640;34
5797078;5925888;458;32057;136;86;30802;207;185;40808;189;171;42829;61;32162;53;32177;34
5797079;5925888;457;31964;136;86;30802;207;184;40715;189;170;42736;61;31999;53;32013;34
5797080;5925888;457;32008;136;86;30802;207;185;40760;189;171;42781;61;31210;53;31224;35
5797081;5925888;457;31994;136;86;30802;207;184;40746;189;170;42767;61;31830;53;31844;35
5797082;5925888;410;28687;130;82;30613;209;188;46214;206;171;52621;61;31361;54;31376;35
5798974;5925888;467;32672;131;83;31735;170;119;38244;175;150;39689;55;33234;48;33249;30
5798975;5925888;488;34164;138;87;33012;180;165;50426;185;150;44344;63;37438;55;37453;36
5798976;5925888;488;34159;138;87;33012;180;165;50420;185;150;44338;62;37326;55;37340;36
5798977;5925888;488;34166;131;83;30795;180;165;50427;185;150;44345;61;38531;54;38546;34
5798978;5925888;451;31604;129;81;30219;164;145;47899;160;130;41818;61;38002;54;38017;34
5798979;5925888;449;31428;128;81;30109;161;143;47723;160;128;41641;62;38360;54;38375;35
5798980;5925888;449;31428;129;81;30228;161;143;47723;160;128;41641;60;37520;53;37535;34
5798981;5925888;453;31700;130;82;30528;164;147;47994;167;132;41912;61;37908;54;37923;35
5798982;5925888;449;31428;130;82;30660;200;176;40180;183;162;42201;61;31053;54;31068;35
5798983;5925888;447;31303;130;82;30660;200;175;40054;180;161;42075;60;30993;52;31008;33
5798984;5925888;447;31296;133;84;30070;196;175;48150;180;160;42068;60;30985;52;30999;33
5798985;5925888;452;31661;133;84;30070;203;180;40412;186;166;42433;60;30877;52;30891;34
5798986;5925888;450;31523;136;86;30802;200;178;40274;185;164;42295;60;31143;52;31157;34
5798987;5925888;454;31779;136;86;30802;203;181;40530;189;167;42551;61;31602;53;31617;35
5798988;5925888;404;28272;129;82;30079;201;189;46280;203;172;52687;60;30837;53;30851;35
5800879;5925888;460;32176;130;82;31398;154;111;37748;164;143;39193;56;32955;49;32970;31
5800880;5925888;464;32455;131;83;31731;161;115;38027;170;147;39472;55;33231;48;33245;30
5800881;5925888;491;34369;131;83;31731;183;168;50630;185;153;44548;63;32859;55;32873;36
5800882;5925888;450;31516;138;87;33012;179;164;48669;178;149;42587;61;31109;53;31124;34
