from_id;to_id;walk_t;walk_d;bike_s_t;bike_f_t;bike_d;pt_r_tt;pt_r_t;pt_r_d;pt_m_tt;pt_m_t;pt_m_d;car_r_t;car_r_d;car_m_t;car_m_d;car_sl_t
5785640;5933072;366;25641;114;72;26116;142;130;39324;165;134;39324;49;31127;44;31127;29
5785641;5933072;346;24245;113;71;24945;150;133;39530;169;125;33470;52;31338;46;31338;29
5785642;5933072;347;24324;113;71;24945;153;135;39648;169;127;33588;52;30739;46;28963;29
5785643;5933072;352;24617;122;77;27005;161;139;39941;169;131;33881;52;33296;46;31519;29
5787544;5933072;359;25152;111;70;25576;140;123;38835;153;127;38835;48;30701;43;30701;28
5787545;5933072;360;25221;111;70;25576;140;124;38904;153;128;38904;48;30988;43;30988;28
5787546;5933072;364;25447;111;70;25576;142;127;39130;165;131;39130;51;29765;45;27989;28
5787547;5933072;345;24131;113;71;24945;157;140;40029;168;132;33969;51;30157;45;28380;28
5787548;5933072;342;23906;113;71;24945;155;136;39756;165;128;33697;51;30278;45;28502;28
5787549;5933072;343;24040;113;71;24945;157;140;40049;166;132;33989;52;30521;46;28745;29
5787550;5933072;380;26622;122;77;27005;178;141;50474;176;134;46869;52;33095;46;31318;29
5789447;5933072;327;22877;101;64;23478;101;83;30008;117;87;36068;44;28511;39;28511;25
5789448;5933072;331;23158;101;64;23481;101;84;30029;117;88;36088;45;28876;39;28876;25
5789449;5933072;336;23506;102;64;24171;101;85;30089;117;89;36149;46;29302;40;29302;26
5789450;5933072;363;25388;102;64;24171;142;126;39071;165;130;39071;46;29621;40;29621;26
5789451;5933072;363;25426;111;70;25576;142;127;39109;165;131;39109;48;30948;43;30948;28
5789452;5933072;337;23567;111;70;25576;155;134;36623;158;126;30563;51;29665;45;27888;28
5789453;5933072;337;23603;113;71;24945;155;135;36659;158;127;30600;51;29842;45;28065;28
5789454;5933072;338;23690;113;71;24945;155;136;36746;160;132;33979;51;30105;45;28329;28
5789455;5933072;341;23867;122;77;27038;160;139;36923;165;131;30863;52;30326;46;28550;29
5789456;5933072;378;26462;122;77;27038;172;139;50314;178;131;46708;58;33005;52;31228;35
5791353;5933072;335;23423;100;63;23039;104;89;30368;123;93;36428;44;28102;39;28102;25
5791354;5933072;331;23191;101;64;23810;101;85;30136;123;89;36196;45;28693;40;28693;26
5791355;5933072;332;23220;101;64;23723;95;80;29797;117;84;35856;45;28874;40;28874;25
5791356;5933072;333;23317;101;64;23951;101;85;30145;123;89;36204;46;29499;41;29499;26
5791357;5933072;334;23405;102;64;24171;104;88;30213;123;92;36273;46;29613;40;29613;26
5791358;5933072;335;23456;102;64;24171;152;133;36512;155;125;30452;46;29159;40;27383;26
5791359;5933072;332;23258;102;64;24171;146;130;36314;148;133;34331;51;29482;45;27706;28
5791360;5933072;333;23312;113;71;24945;149;131;36368;151;123;30309;51;29850;45;28074;28
5791361;5933072;338;23666;122;77;27038;155;136;36722;158;128;30662;51;30205;45;28428;28
5791362;5933072;343;23977;122;77;27038;160;140;37033;166;132;30973;51;30513;46;28737;29
5791363;5933072;378;26456;122;77;27038;172;139;50309;178;131;46703;58;32901;52;31124;35
5793258;5933072;340;23809;104;66;24284;112;94;30754;129;98;36814;46;29366;41;29366;26
5793259;5933072;336;23509;103;66;24228;106;90;30454;123;94;36513;45;29206;40;29206;26
5793260;5933072;336;23543;102;65;23814;106;90;30488;123;94;36548;45;29170;40;29170;26
5793261;5933072;330;23128;100;63;23738;101;84;29933;117;88;35992;45;28951;40;28951;26
5793262;5933072;329;23024;100;63;23780;101;84;29931;117;88;35990;46;29376;41;29376;26
5793263;5933072;330;23072;100;63;23780;108;89;29514;123;93;35573;46;30482;41;30482;26
5793264;5933072;329;23003;99;63;23492;146;126;36059;145;130;34076;50;29103;44;27327;28
5793265;5933072;329;23043;99;63;23430;146;127;36099;147;130;34116;50;29436;44;27659;28
5793266;5933072;329;23052;104;66;23475;146;127;36108;147;130;34125;50;29633;45;27857;28
5793267;5933072;340;23827;104;66;23475;157;138;36883;163;130;30823;50;30428;45;28651;28
5793268;5933072;346;24224;122;77;27038;167;148;37280;169;136;31221;51;30654;46;28878;29
5793269;5933072;376;26322;119;75;26557;184;148;50990;176;141;47385;57;29466;51;27690;34
5793270;5933072;373;26142;119;75;26557;179;146;50809;176;138;47204;57;32355;51;30579;34
5795164;5933072;341;23884;103;66;24228;114;95;30829;129;99;36888;46;29490;41;29490;26
5795165;5933072;342;23965;103;66;24228;116;96;30910;129;100;36970;46;31266;41;31266;26
5795166;5933072;341;23896;99;63;23468;114;95;30840;129;99;36900;49;31116;43;31116;28
5795167;5933072;326;22803;100;63;23704;101;85;29232;123;89;35291;46;29501;41;29501;26
5795168;5933072;326;22804;99;63;23492;101;85;29232;123;89;35292;47;30063;42;30063;27
5795169;5933072;327;22884;99;63;23492;101;86;29327;123;90;35386;47;30285;42;30285;27
5795170;5933072;325;22733;99;63;23430;146;123;35789;143;126;33806;47;28842;42;27066;27
5795171;5933072;324;22652;99;62;23332;146;121;35708;143;125;33725;50;29143;44;27367;28
5795172;5933072;328;22986;104;66;23475;146;126;36042;145;130;34059;50;29585;45;27809;28
5795173;5933072;332;23215;104;66;23475;146;129;36271;147;133;34288;50;29676;45;27900;28
5795174;5933072;329;23024;104;66;23475;146;127;36080;145;130;34097;51;29310;45;27534;28
5795175;5933072;328;22962;104;66;23475;146;126;36018;145;129;34035;51;29447;45;27671;28
5795176;5933072;374;26178;102;65;23285;179;146;50846;176;139;47240;51;28971;46;27194;29
5797069;5933072;313;21914;97;61;22348;129;86;30339;133;117;31784;-1;-1;-1;-1;-1
5797070;5933072;344;24082;97;61;22348;116;98;31027;129;102;37087;47;29769;42;29769;27
5797071;5933072;346;24199;99;63;23468;116;100;31144;129;104;37204;49;31169;44;31169;28
5797072;5933072;327;22894;99;63;23468;101;86;29323;123;90;35382;49;30885;43;30885;28
5797073;5933072;323;22609;99;63;23468;101;82;29038;117;86;35098;47;30970;41;30970;26
5797074;5933072;321;22491;98;62;23222;95;81;28934;117;85;34993;47;29834;41;29834;26
5797075;5933072;324;22700;99;63;23430;101;84;29142;117;88;35202;47;30167;42;30167;27
5797076;5933072;320;22416;99;62;23332;142;118;35472;140;121;33489;48;28789;43;27013;28
5797077;5933072;322;22543;99;62;23332;142;120;35599;141;123;33616;50;29221;44;27445;28
5797078;5933072;327;22876;104;66;23475;146;125;35932;143;128;33949;50;29759;45;27982;28
5797079;5933072;325;22784;104;66;23475;146;123;35840;143;127;33856;50;29595;45;27819;28
5797080;5933072;326;22828;104;66;23475;146;124;35884;143;127;33901;51;28806;45;27030;28
5797081;5933072;326;22814;104;66;23475;146;124;35870;143;127;33887;51;29426;45;27650;28
5797082;5933072;323;22608;102;65;23285;152;139;35310;152;137;47104;51;28958;46;27181;29
5798974;5933072;293;20541;92;59;20917;115;67;28966;117;98;30411;39;25912;35;25912;22
5798975;5933072;349;24443;106;67;24920;119;103;31388;141;107;37447;47;30116;42;30116;27
5798976;5933072;349;24437;106;67;24920;119;103;31382;141;107;37442;47;30003;42;30003;27
5798977;5933072;349;24444;99;63;23468;119;103;31389;141;107;37448;48;31209;43;31209;28
5798978;5933072;320;22424;97;61;22891;101;83;28861;117;87;34921;48;30680;43;30680;28
5798979;5933072;318;22248;97;61;22781;98;81;28684;117;85;34744;49;31038;43;31038;28
5798980;5933072;318;22248;97;61;22900;98;81;28685;117;85;34744;47;30198;42;30198;27
5798981;5933072;322;22519;98;62;23200;101;85;28956;123;89;35016;48;30586;43;30586;28
5798982;5933072;318;22248;99;62;23332;137;116;35304;136;120;35304;48;28650;43;26873;28
5798983;5933072;316;22123;99;62;23332;137;114;35179;134;117;33196;49;28590;44;26813;27
5798984;5933072;316;22116;101;64;22742;134;114;29112;134;117;33189;49;28581;44;26805;27
5798985;5933072;321;22480;101;64;22742;142;119;35536;140;122;33553;50;28473;44;26697;27
5798986;5933072;319;22342;104;66;23475;137;117;35398;139;120;33415;50;28739;44;26963;27
5798987;5933072;323;22598;104;66;23475;142;121;35654;143;124;33671;51;29199;45;27422;28
