from_id;to_id;walk_t;walk_d;bike_s_t;bike_f_t;bike_d;pt_r_tt;pt_r_t;pt_r_d;pt_m_tt;pt_m_t;pt_m_d;car_r_t;car_r_d;car_m_t;car_m_d;car_sl_t
5785640;5933078;357;24966;108;69;25106;133;120;37071;155;124;37071;47;29435;42;29435;27
5785641;5933078;335;23421;107;68;23702;140;123;37277;159;115;31217;49;29646;44;29646;27
5785642;5933078;336;23501;107;68;23702;143;124;37395;159;116;31335;49;29047;44;27271;27
5785643;5933078;340;23794;116;74;25762;154;128;37688;159;120;31628;49;31604;44;29827;27
5787544;5933078;350;24476;105;67;24567;131;113;36582;143;117;36582;46;29009;41;29009;27
5787545;5933078;351;24546;105;67;24567;131;114;36651;143;118;36651;46;29295;41;29295;27
5787546;5933078;354;24771;105;67;24567;133;117;36877;155;121;36877;49;28073;43;26297;27
5787547;5933078;333;23307;107;68;23702;148;130;37776;158;122;31716;49;28464;43;26688;27
5787548;5933078;330;23082;107;68;23702;145;126;37503;155;118;31444;49;28586;43;26809;27
5787549;5933078;332;23216;107;68;23702;148;130;37796;156;122;31736;49;28829;44;27053;27
5787550;5933078;369;25799;116;74;25762;168;131;48222;165;122;45169;49;31402;44;29626;27
5789447;5933078;317;22202;96;61;22469;91;73;27755;107;77;33815;42;26819;37;26819;24
5789448;5933078;321;22482;96;61;22472;91;73;27776;107;77;33835;42;27184;37;27184;24
5789449;5933078;326;22830;96;61;23138;91;74;27836;107;78;33896;43;27610;38;27610;24
5789450;5933078;353;24713;96;61;23138;133;116;36818;155;120;36818;43;27929;38;27929;24
5789451;5933078;354;24751;105;67;24567;133;117;36856;155;121;36856;46;29256;41;29256;27
5789452;5933078;325;22744;105;67;24567;145;124;34370;148;116;28310;48;27973;43;26196;27
5789453;5933078;325;22780;107;68;23702;145;125;34406;148;117;28347;49;28149;43;26373;27
5789454;5933078;327;22867;107;68;23702;145;126;34493;150;122;31726;49;28413;43;26637;27
5789455;5933078;329;23043;116;74;25795;150;128;34670;155;120;28610;49;28634;44;26858;28
5789456;5933078;366;25638;116;74;25795;162;128;48061;167;120;45008;55;31313;50;29536;33
5791353;5933078;325;22748;94;60;22030;94;78;28115;113;82;34175;41;26410;37;26410;23
5791354;5933078;322;22516;96;61;22801;91;75;27883;113;79;33943;43;27001;38;27001;24
5791355;5933078;320;22432;95;60;22713;85;70;27544;107;74;33604;43;27181;38;27181;24
5791356;5933078;321;22494;95;60;22708;91;75;27892;113;79;33952;43;27807;39;27807;24
5791357;5933078;323;22581;96;61;23138;94;78;27960;113;82;34020;43;27921;38;27921;24
