from_id;to_id;walk_t;walk_d;bike_s_t;bike_f_t;bike_d;pt_r_tt;pt_r_t;pt_r_d;pt_m_tt;pt_m_t;pt_m_d;car_r_t;car_r_d;car_m_t;car_m_d;car_sl_t
5785640;5933011;578;40431;166;105;41266;244;227;57014;269;238;57014;66;43593;59;43578;40
5785641;5933011;563;39414;174;110;40507;254;230;57220;274;233;50908;68;43804;61;43789;40
5785642;5933011;564;39494;174;110;40507;256;231;57338;274;235;51026;68;43630;61;41840;40
5785643;5933011;568;39786;183;116;42567;262;235;57631;274;239;51319;68;46187;61;44396;40
5787544;5933011;571;39942;163;103;40727;243;220;56525;255;223;56525;65;43167;58;43153;39
5787545;5933011;572;40011;163;103;40727;243;221;56594;255;224;56594;65;43453;58;43439;39
5787546;5933011;575;40237;163;103;40727;244;224;56820;269;235;56820;68;42656;60;40866;40
5787547;5933011;561;39300;174;110;40507;259;237;57719;272;240;51407;68;43048;60;41257;40
5787548;5933011;558;39075;174;110;40507;257;233;57446;268;236;51135;68;43169;60;41378;40
5787549;5933011;560;39209;174;110;40507;259;237;57739;270;241;51427;68;43412;61;41621;40
5787550;5933011;597;41792;183;116;42567;282;242;68393;269;226;64652;68;45986;61;44195;40
5789447;5933011;538;37667;154;97;38628;205;184;47927;214;183;53758;61;40977;54;40963;37
5789448;5933011;542;37948;154;97;38632;205;185;47948;214;183;53778;61;41342;54;41328;37
5789449;5933011;547;38296;156;99;39322;205;186;48008;214;184;53839;62;41768;55;41754;37
5789450;5933011;574;40178;156;99;39322;244;223;56761;269;234;56761;62;42087;55;42072;37
5789451;5933011;575;40216;163;103;40727;244;224;56799;269;235;56799;65;43414;58;43400;39
5789452;5933011;553;38736;163;103;40727;258;231;54313;265;235;48001;67;42556;60;40765;40
5789453;5933011;554;38773;174;110;40507;257;232;54350;265;235;48038;68;42733;60;40942;40
5789454;5933011;555;38860;174;110;40507;257;237;57728;265;241;51416;68;42996;60;41206;40
5789455;5933011;558;39036;183;116;42600;261;235;54613;268;239;48301;68;43217;61;41427;40
5789456;5933011;595;41631;183;116;42600;276;240;68233;271;223;64491;74;45896;67;44105;46
5791353;5933011;546;38213;152;96;38190;209;190;48287;221;188;54118;60;40568;54;40553;36
5791354;5933011;543;37981;155;98;38961;205;186;48055;221;185;53886;62;41159;55;41144;37
5791355;5933011;543;38010;155;98;38873;201;181;47716;214;180;53547;62;41339;55;41325;37
5791356;5933011;548;38358;156;99;39352;205;186;48064;221;185;53895;62;41965;56;41950;37
5791357;5933011;551;38574;156;99;39322;209;189;48132;221;188;53963;62;42079;55;42064;37
5791358;5933011;552;38625;156;99;39322;255;230;54202;261;233;47890;62;42050;55;40259;37
5791359;5933011;549;38427;156;99;39322;246;227;54004;256;238;54004;67;42373;60;40583;40
5791360;5933011;550;38482;174;110;40507;250;227;54059;258;231;47747;67;42742;60;40951;40
5791361;5933011;555;38835;183;116;42600;258;233;54412;265;236;48100;67;43096;60;41305;40
5791362;5933011;559;39146;183;116;42600;261;237;54723;270;241;48411;68;43404;61;41613;40
5791363;5933011;595;41626;183;116;42600;276;240;68228;271;223;64486;74;45792;67;44001;46
