from_id;to_id;walk_t;walk_d;bike_s_t;bike_f_t;bike_d;pt_r_tt;pt_r_t;pt_r_d;pt_m_tt;pt_m_t;pt_m_d;car_r_t;car_r_d;car_m_t;car_m_d;car_sl_t
5785640;5933140;486;34001;139;88;32051;158;147;38414;174;143;38096;59;36434;53;36434;34
5785641;5933140;448;31384;135;85;29447;167;150;38620;181;146;38302;60;36645;53;36645;34
5785642;5933140;449;31464;135;85;29447;170;151;38738;181;147;38420;60;36046;53;34270;34
5785643;5933140;454;31757;129;82;29253;179;156;39031;181;152;38713;60;37929;53;38140;34
5787544;5933140;479;33511;136;86;31512;157;140;37925;161;135;37607;58;36008;52;36008;33
5787545;5933140;480;33580;136;86;31512;157;141;37994;161;136;37676;58;36295;52;36295;33
5787546;5933140;483;33806;136;86;31512;158;144;38220;174;140;37902;59;35073;52;33296;34
5787547;5933140;447;31270;135;85;29447;174;157;39119;180;153;38801;59;35464;52;33687;34
5787548;5933140;443;31045;135;85;29447;171;153;38846;178;149;38528;60;35585;52;33809;34
5787549;5933140;445;31179;135;85;29447;174;157;39139;178;153;38821;60;35828;53;34052;34
5787550;5933140;422;29574;129;82;29253;180;143;37855;174;131;44262;60;37728;53;37939;34
5789447;5933140;439;30744;124;79;28749;118;101;36109;125;95;34840;54;33819;49;33819;31
5789448;5933140;439;30741;124;79;28746;118;102;36129;125;96;34860;55;34183;49;34183;31
5789449;5933140;440;30802;124;79;28882;118;102;36190;125;96;34921;56;34609;50;34609;31
5789450;5933140;482;33748;124;79;28882;158;143;38161;174;139;37843;56;34928;50;34928;31
5789451;5933140;483;33786;136;86;31512;158;144;38199;174;140;37881;58;36255;52;36255;33
5789452;5933140;439;30706;136;86;31512;171;151;35713;172;147;35395;59;34972;52;33195;34
5789453;5933140;439;30743;135;85;29447;171;152;35750;172;148;35432;59;35149;52;33372;34
5789454;5933140;440;30830;135;85;29447;171;153;35836;174;153;38810;59;35413;52;33636;34
5789455;5933140;443;31006;129;82;29286;175;155;36013;178;151;35695;60;35633;53;33857;34
5789456;5933140;420;29413;129;82;29286;174;140;37694;175;128;44101;62;37638;55;37849;38
5791353;5933140;444;31104;128;81;29799;121;106;36468;131;100;35200;54;33409;48;33409;30
5791354;5933140;441;30872;123;78;28592;118;103;36236;131;97;34968;55;34000;50;34000;31
5791355;5933140;434;30395;123;78;28505;112;98;35897;125;92;34629;55;34181;49;34181;31
5791356;5933140;435;30457;123;78;28453;118;103;36245;131;97;34977;56;34806;50;34806;31
5791357;5933140;436;30544;124;79;28882;121;106;36314;131;100;35045;56;34920;50;34920;31
5791358;5933140;437;30595;124;79;28882;168;150;35602;170;146;35284;56;34466;50;32690;31
5791359;5933140;434;30398;124;79;28882;161;147;35404;160;143;35086;59;34790;52;33013;34
5791360;5933140;435;30452;135;85;29447;164;148;35458;164;144;35141;59;35158;52;33381;34
5791361;5933140;440;30805;129;82;29286;171;153;35812;172;149;35494;59;35512;52;33735;34
5791362;5933140;445;31116;129;82;29286;175;157;36123;178;153;35805;60;35820;53;34044;34
5791363;5933140;420;29408;129;82;29286;174;140;37689;175;128;44096;62;37534;55;37745;38
5793258;5933140;450;31490;126;80;29550;130;112;36854;137;106;35586;56;34673;50;34673;32
5793259;5933140;446;31190;126;80;29493;124;108;36554;131;102;35286;55;34513;50;34513;31
5793260;5933140;446;31224;125;79;29080;124;108;36589;131;102;35320;55;34477;50;34477;31
5793261;5933140;432;30268;122;77;28240;118;102;36033;125;96;34764;55;34258;50;34258;31
5793262;5933140;431;30163;122;78;28282;118;102;36031;125;96;34763;56;34683;50;34683;31
5793263;5933140;432;30211;122;78;28282;125;107;35614;131;101;34346;56;35789;50;35789;31
5793264;5933140;431;30142;121;77;27994;161;143;35149;158;139;34831;58;34410;51;32634;33
5793265;5933140;431;30182;121;77;27932;161;144;35189;160;140;34871;58;34743;51;32967;33
5793266;5933140;431;30192;127;80;27976;161;144;35198;160;140;34880;59;34940;52;33164;33
5793267;5933140;442;30966;127;80;27976;174;155;35973;178;151;35655;59;35735;52;33959;33
5793268;5933140;448;31364;129;82;29286;183;161;34031;181;157;38058;60;35961;53;34185;34
5793269;5933140;424;29709;130;82;29247;188;150;38370;174;138;44778;62;34774;56;32997;38
5793270;5933140;422;29528;130;82;29247;181;148;38190;174;136;44597;62;37642;56;37944;38
5795164;5933140;451;31565;126;80;29493;131;113;36929;137;107;35661;56;34797;50;34797;32
5795165;5933140;452;31646;126;80;29493;132;114;37011;137;108;35742;56;36574;50;36574;32
5795166;5933140;451;31576;122;77;27969;131;113;36941;137;107;35672;59;36423;53;36423;33
5795167;5933140;428;29942;122;77;28206;118;103;35332;131;97;34063;56;34808;50;34808;31
5795168;5933140;428;29943;121;77;27994;118;103;35333;131;97;34064;57;35370;51;35370;32
5795169;5933140;429;30024;121;77;27994;118;104;35427;131;98;34158;57;35593;51;35593;32
5795170;5933140;427;29872;121;77;27932;162;139;34879;153;134;34561;57;34149;51;32373;32
5795171;5933140;426;29791;121;77;27834;162;138;34798;153;133;34480;58;34450;51;32674;33
5795172;5933140;430;30126;127;80;27976;161;143;35132;158;139;34815;59;34893;52;33116;33
5795173;5933140;434;30354;127;80;27976;161;146;35361;160;142;35043;59;34983;52;33207;33
5795174;5933140;431;30164;127;80;27976;161;143;35171;158;139;34853;59;34617;52;32841;34
5795175;5933140;430;30101;127;80;27976;161;143;35108;158;139;34790;59;34754;52;32978;34
5795176;5933140;422;29565;124;79;27787;181;148;38226;174;136;44633;60;34278;53;32502;35
5797069;5933140;436;30523;127;80;30341;142;108;31541;147;135;33629;-1;-1;-1;-1;-1
5797070;5933140;454;31763;127;80;30341;132;116;37128;137;110;35859;57;35076;51;35076;32
5797071;5933140;455;31880;122;77;27969;132;117;37245;137;111;35976;59;36476;53;36476;34
5797072;5933140;429;30034;122;77;27969;118;104;35423;131;98;34155;59;36192;52;36192;33
5797073;5933140;425;29749;122;77;27969;118;100;35138;125;94;33870;57;36277;51;36277;32
5797074;5933140;423;29631;121;76;27724;112;98;35034;125;92;33765;57;35141;51;35141;32
5797075;5933140;426;29839;121;77;27932;118;101;35243;125;95;33974;57;35474;51;35474;32
5797076;5933140;422;29555;121;77;27834;157;135;34562;149;130;34244;58;34096;52;32320;33
5797077;5933140;424;29682;121;77;27834;157;137;34689;152;132;34371;58;34529;51;32752;33
5797078;5933140;429;30016;127;80;27976;161;141;35022;153;136;34705;59;35066;52;33289;33
5797079;5933140;427;29923;127;80;27976;161;140;34930;153;135;34612;59;34902;52;33126;33
5797080;5933140;428;29968;127;80;27976;161;141;34974;153;136;34656;59;34113;52;32337;34
5797081;5933140;428;29954;127;80;27976;161;140;34960;153;135;34643;59;34733;52;32957;34
5797082;5933140;392;27423;124;79;27787;165;146;38090;166;134;44497;60;34265;53;32488;35
