from_id;to_id;walk_t;walk_d;bike_s_t;bike_f_t;bike_d;pt_r_tt;pt_r_t;pt_r_d;pt_m_tt;pt_m_t;pt_m_d;car_r_t;car_r_d;car_m_t;car_m_d;car_sl_t
5785640;5933097;361;25246;102;65;25461;121;107;27097;145;115;27097;42;26159;37;26755;25
5785641;5933097;323;22629;101;64;22856;128;109;27303;151;111;27303;44;26370;39;26966;25
5785642;5933097;324;22709;101;64;22856;131;111;27421;151;113;27421;44;26367;39;24591;25
5785643;5933097;329;23002;110;70;24916;140;115;27714;151;117;27714;44;28924;39;27147;25
5787544;5933097;354;24756;99;63;24921;118;100;26608;134;108;26608;41;25733;37;26329;24
5787545;5933097;355;24826;99;63;24921;118;101;26677;134;109;26677;41;26019;37;26615;24
5787546;5933097;358;25051;99;63;24921;121;104;26902;145;112;26902;44;25393;39;23617;25
5787547;5933097;322;22515;101;64;22856;136;117;27802;150;119;27802;44;25784;39;24008;25
5787548;5933097;318;22290;101;64;22856;133;113;27529;147;115;27529;44;25906;39;24129;25
5787549;5933097;320;22424;101;64;22856;136;117;27822;149;119;27822;44;26149;39;24373;25
5787550;5933097;357;25007;110;70;24916;164;130;33072;153;110;39480;44;28722;39;26946;25
5789447;5933097;314;21989;90;57;22159;82;60;23841;99;68;23841;37;23543;33;24139;21
5789448;5933097;314;21986;90;57;22156;82;60;23861;99;68;23861;37;23908;33;24504;21
5789449;5933097;315;22047;90;57;22292;82;61;23922;99;69;23922;38;24334;34;24930;22
5789450;5933097;357;24993;90;57;22292;121;103;26844;145;111;26844;38;24653;34;25249;22
5789451;5933097;358;25031;99;63;24921;121;103;26882;145;111;26882;41;25980;37;26576;24
5789452;5933097;314;21952;99;63;24921;133;111;24396;140;113;24396;43;25293;38;23516;25
5789453;5933097;314;21988;101;64;22856;133;111;24432;140;113;24432;44;25469;39;23693;25
5789454;5933097;315;22075;101;64;22856;133;113;24519;142;119;28553;44;25733;39;23957;25
5789455;5933097;318;22251;110;70;24949;138;115;24696;147;117;24696;44;25954;39;24178;25
5789456;5933097;355;24846;110;70;24949;159;128;32912;154;108;39319;50;28633;45;26856;31
5791353;5933097;319;22349;88;56;22465;84;65;24201;105;73;24201;36;23134;32;23730;21
5791354;5933097;316;22117;90;57;22002;82;62;23968;105;70;23968;38;23725;34;24321;22
5791355;5933097;309;21640;89;57;21914;76;57;23630;99;65;23630;38;23905;33;24501;22
5791356;5933097;310;21702;89;56;21863;82;62;23978;105;70;23978;38;24531;34;25127;22
5791357;5933097;311;21789;90;57;22292;84;65;24046;105;73;24046;38;24645;34;25241;22
5791358;5933097;312;21840;90;57;22292;131;109;24285;137;111;24285;38;24787;34;23011;22
5791359;5933097;309;21643;90;57;22292;125;107;24087;129;112;28121;43;25110;38;23334;25
