from_id;to_id;walk_t;walk_d;bike_s_t;bike_f_t;bike_d;pt_r_tt;pt_r_t;pt_r_d;pt_m_tt;pt_m_t;pt_m_d;car_r_t;car_r_d;car_m_t;car_m_d;car_sl_t
5785640;5933143;490;34319;140;89;32713;171;161;45876;184;153;41902;60;36835;54;36835;34
5785641;5933143;460;32167;136;86;30109;180;164;46082;192;156;42108;60;37046;53;37046;34
5785642;5933143;461;32246;136;86;30109;182;166;46199;192;158;42225;60;36447;53;34671;34
5785643;5933143;465;32539;130;82;29633;189;170;46492;192;162;42518;60;38330;53;38541;34
5787544;5933143;483;33830;137;87;32174;169;154;45386;171;142;41412;59;36409;53;36409;33
5787545;5933143;484;33899;137;87;32174;169;155;45455;171;143;41481;59;36695;53;36695;33
5787546;5933143;487;34125;137;87;32174;171;159;45681;184;151;41707;60;35473;52;33697;34
5787547;5933143;458;32053;136;86;30109;186;171;46580;190;163;42606;60;35864;52;34088;34
5787548;5933143;455;31827;136;86;30109;184;168;46308;187;160;42334;60;35986;53;34209;34
5787549;5933143;457;31962;136;86;30109;186;172;46600;188;164;42626;60;36229;53;34453;34
5787550;5933143;427;29869;130;82;29633;194;157;41253;184;141;48067;60;38128;53;38340;34
5789447;5933143;450;31527;125;79;29412;127;106;36570;133;103;38645;55;34219;49;34219;31
5789448;5933143;450;31524;125;79;29408;127;106;36591;133;103;38666;55;34584;49;34584;31
5789449;5933143;451;31584;125;79;29544;127;107;36651;133;104;38726;56;35010;50;35010;31
5789450;5933143;487;34066;125;79;29544;171;158;45623;184;150;41648;56;35329;50;35329;31
5789451;5933143;487;34104;137;87;32174;171;158;45661;184;150;41687;59;36656;53;36656;33
5789452;5933143;450;31489;137;87;32174;184;166;43175;182;158;39201;59;35373;52;33596;34
5789453;5933143;450;31525;136;86;30109;184;166;43211;182;158;39237;60;35549;52;33773;34
5789454;5933143;452;31612;136;86;30109;184;168;43298;183;168;47332;60;35813;52;34037;34
5789455;5933143;454;31788;130;82;29666;188;170;43474;187;162;39500;60;36034;53;34258;34
5789456;5933143;424;29708;130;82;29666;188;155;41092;185;139;47907;62;38039;56;38250;38
5791353;5933143;456;31886;129;82;30462;131;111;36930;139;108;39005;54;33810;48;33810;30
5791354;5933143;452;31654;124;79;29254;127;108;36698;139;105;38773;56;34401;50;34401;31
5791355;5933143;445;31177;124;79;29167;121;103;36359;133;100;38434;55;34581;50;34581;31
5791356;5933143;446;31239;124;79;29115;127;108;36707;139;105;38782;56;35207;50;35207;31
5791357;5933143;448;31327;125;79;29544;131;110;36775;139;108;38850;56;35321;50;35321;31
5791358;5933143;448;31378;125;79;29544;182;164;43064;179;156;39089;56;34867;50;33091;31
5791359;5933143;445;31180;125;79;29544;174;161;42866;170;153;38892;59;35190;52;33414;34
5791360;5933143;446;31234;136;86;30109;178;162;42920;174;154;38946;59;35558;52;33782;34
5791361;5933143;451;31588;130;82;29666;184;167;43274;182;159;39299;59;35913;52;34136;34
5791362;5933143;456;31899;130;82;29666;188;172;43585;188;164;39610;60;36221;53;34445;34
5791363;5933143;424;29703;130;82;29666;188;155;41088;185;139;47902;62;37934;56;38146;38
5793258;5933143;461;32272;127;81;30212;139;116;37316;146;114;39391;56;35074;51;35074;32
5793259;5933143;457;31972;127;81;30155;133;112;37016;139;109;39091;56;34914;50;34914;31
5793260;5933143;457;32007;126;80;29742;133;113;37050;139;110;39125;56;34878;50;34878;31
5793261;5933143;444;31050;123;78;28902;127;106;36495;133;104;38570;56;34659;50;34659;31
5793262;5933143;442;30946;124;78;28944;127;106;36493;133;104;38568;56;35084;50;35084;31
5793263;5933143;443;30993;124;78;28944;135;111;36076;139;108;38151;56;36189;50;36189;31
5793264;5933143;442;30924;123;78;28656;174;158;42610;168;150;38636;59;34811;52;33035;33
5793265;5933143;442;30965;122;78;28594;174;158;42651;169;150;38677;59;35144;52;33367;33
5793266;5933143;442;30974;128;81;28639;174;158;42660;169;150;38686;59;35341;52;33564;33
5793267;5933143;454;31749;128;81;28639;186;170;43434;187;162;39460;59;36136;52;34359;33
5793268;5933143;459;32146;130;82;29666;194;174;34937;192;167;41863;60;36362;53;34586;34
5793269;5933143;429;30004;131;83;29627;201;165;41769;184;149;48583;62;35174;56;33398;38
5793270;5933143;426;29823;131;83;29627;195;162;41588;184;146;48402;62;38043;56;38345;38
5795164;5933143;462;32347;127;81;30155;141;117;37391;146;115;39466;56;35198;50;35198;32
5795165;5933143;463;32429;127;81;30155;143;119;37472;146;116;39547;56;36974;50;36974;32
5795166;5933143;462;32359;123;78;28631;141;118;37402;146;115;39478;59;36824;53;36824;33
5795167;5933143;439;30725;123;78;28868;127;107;35794;139;104;37869;56;35209;50;35209;32
5795168;5933143;439;30725;123;78;28656;127;107;35794;139;104;37869;58;35771;52;35771;33
5795169;5933143;440;30806;123;78;28656;127;109;35889;139;106;37964;58;35993;52;35993;33
5795170;5933143;438;30655;122;78;28594;175;154;42341;163;142;38367;57;34550;52;32773;32
5795171;5933143;437;30574;122;77;28496;175;153;42259;163;141;38285;59;34851;52;33075;33
5795172;5933143;442;30908;128;81;28639;174;158;42594;168;150;38620;59;35293;52;33517;33
5795173;5933143;445;31137;128;81;28639;174;161;42823;169;153;38848;59;35384;52;33608;33
5795174;5933143;442;30946;128;81;28639;174;158;42632;168;150;38658;59;35018;52;33242;34
5795175;5933143;441;30884;128;81;28639;174;157;42570;168;149;38595;59;35155;52;33379;34
5795176;5933143;427;29860;125;79;28449;195;163;41625;184;147;48439;60;34679;53;32902;35
5797069;5933143;447;31306;128;81;31003;153;115;34760;156;142;36262;-1;-1;-1;-1;-1
5797070;5933143;465;32546;128;81;31003;143;120;37589;146;117;39664;57;35476;51;35476;33
