from_id;to_id;walk_t;walk_d;bike_s_t;bike_f_t;bike_d;pt_r_tt;pt_r_t;pt_r_d;pt_m_tt;pt_m_t;pt_m_d;car_r_t;car_r_d;car_m_t;car_m_d;car_sl_t
5785640;5963609;463;32394;142;90;33027;174;157;40492;198;168;45029;59;38556;52;38565;34
5785641;5963609;443;30997;141;89;31856;181;159;40698;203;158;41739;61;38767;53;38776;34
5785642;5963609;444;31077;141;89;31856;185;161;40815;203;160;41857;61;38168;53;36401;34
5785643;5963609;448;31370;150;95;33916;196;165;41108;203;164;42150;62;40725;54;38958;34
5787544;5963609;456;31904;139;88;32487;172;150;40002;186;161;44539;58;38130;51;38140;33
5787545;5963609;457;31973;139;88;32487;172;151;40071;186;162;44608;58;38417;51;38426;33
5787546;5963609;460;32199;139;88;32487;174;154;40297;198;165;44834;61;37195;53;35427;34
5787547;5963609;441;30883;141;89;31856;190;167;41196;201;166;42238;61;37586;53;35819;34
5787548;5963609;438;30658;141;89;31856;186;163;40924;198;162;41966;61;37707;53;35940;34
5787549;5963609;440;30792;141;89;31856;190;167;41216;200;166;42258;62;37950;54;36183;34
5787550;5963609;477;33375;150;95;33916;207;169;58949;212;170;54856;62;40524;54;38757;34
5789447;5963609;423;29630;130;82;30389;132;110;37235;150;120;43722;54;35941;47;35950;31
5789448;5963609;427;29910;130;82;30392;132;110;37256;150;120;43742;55;36305;47;36315;31
5789449;5963609;432;30258;130;82;31082;132;111;37316;150;121;43803;56;36731;48;36741;31
5789450;5963609;459;32140;130;82;31082;174;153;40239;198;164;44776;56;37050;48;37059;31
5789451;5963609;460;32179;139;88;32487;174;153;40277;198;164;44814;58;38377;51;38387;33
5789452;5963609;433;30319;139;88;32487;186;161;37791;192;160;38832;61;37094;53;35327;34
5789453;5963609;434;30356;141;89;31856;186;161;37827;192;160;38869;61;37271;53;35504;34
5789454;5963609;435;30443;141;89;31856;186;163;37914;194;166;42248;61;37535;53;35767;34
5789455;5963609;437;30619;150;95;33949;191;165;38090;198;164;39132;62;37755;54;35988;34
5789456;5963609;474;33214;150;95;33949;201;166;58788;213;167;54695;68;40434;60;38667;40
5791353;5963609;431;30176;128;81;29950;134;115;37595;156;125;44082;54;35531;47;35540;30
5791354;5963609;428;29943;129;82;30721;132;112;37363;156;122;43850;55;36122;48;36131;31
5791355;5963609;428;29972;129;82;30634;125;107;37024;150;117;43511;55;36303;48;36312;31
5791356;5963609;430;30070;129;82;30862;132;112;37372;156;122;43859;56;36928;48;36937;31
5791357;5963609;431;30157;130;82;31082;134;115;37440;156;125;43927;56;37042;48;37051;31
5791358;5963609;432;30208;130;82;31082;183;159;37679;189;158;38721;56;36588;48;34821;31
5791359;5963609;429;30010;130;82;31082;177;157;37482;183;168;42019;61;36912;53;35144;34
5791360;5963609;429;30065;141;89;31856;180;157;37536;185;156;38578;61;37280;53;35513;34
5791361;5963609;435;30418;150;95;33949;186;162;37890;192;161;38931;61;37634;53;35867;34
5791362;5963609;439;30729;150;95;33949;191;167;38201;200;166;39242;61;37942;53;36175;34
5791363;5963609;474;33209;150;95;33949;201;166;58783;213;167;54690;68;40330;60;38563;40
5793258;5963609;437;30561;132;84;31195;144;121;37981;162;131;44468;56;36795;49;36805;32
5793259;5963609;432;30261;132;84;31139;138;116;37681;156;126;44168;55;36635;48;36645;31
5793260;5963609;433;30296;131;83;30725;138;117;37715;156;127;44202;55;36599;48;36608;31
5793261;5963609;427;29881;128;81;30649;132;111;37160;150;121;43646;55;36380;48;36389;31
5793262;5963609;425;29776;129;81;30691;132;111;37158;150;121;43645;56;36805;48;36814;31
5793263;5963609;426;29824;129;81;30691;139;116;36741;156;126;43228;56;37911;49;37920;31
5793264;5963609;425;29755;128;81;30403;177;153;37226;180;164;41763;60;36532;52;34765;33
5793265;5963609;426;29796;127;81;30341;177;153;37267;181;164;41804;60;36865;52;35098;33
5793266;5963609;426;29804;133;84;30386;177;154;37276;181;165;41813;60;37062;53;35295;34
5793267;5963609;437;30579;133;84;30386;190;165;38050;197;164;39092;60;37857;53;36090;34
5793268;5963609;443;30977;150;95;33949;200;180;44934;203;169;39490;61;38083;53;36316;34
5793269;5963609;472;33074;147;93;33468;214;176;59464;212;177;55371;67;36896;59;35129;40
5793270;5963609;470;32894;147;93;33468;209;173;59284;212;174;55191;67;39784;59;38017;40
5795164;5963609;438;30636;132;84;31139;145;122;38056;162;132;44543;56;36919;49;36929;32
5795165;5963609;439;30718;132;84;31139;147;123;38138;162;133;44624;56;38696;49;38705;32
5795166;5963609;438;30648;128;81;30379;145;122;38068;162;132;44554;59;38545;51;38554;34
5795167;5963609;422;29555;128;81;30615;132;111;36459;156;121;42945;56;36931;49;36940;32
5795168;5963609;422;29556;128;81;30403;132;111;36459;156;121;42946;57;37492;50;37502;33
5795169;5963609;423;29637;128;81;30403;132;113;36554;156;123;43040;57;37715;50;37724;33
5795170;5963609;421;29485;127;81;30341;177;149;36957;177;159;43443;57;36271;50;34504;32
5795171;5963609;420;29404;127;80;30243;177;148;36875;177;158;43362;60;36572;52;34805;33
5795172;5963609;425;29739;133;84;30386;177;153;37210;180;164;41747;60;37015;53;35248;34
5795173;5963609;428;29967;133;84;30386;177;156;37438;181;167;41976;60;37105;53;35338;34
5795174;5963609;425;29777;133;84;30386;177;153;37248;180;164;41785;61;36739;53;34972;34
5795175;5963609;424;29714;133;84;30386;177;152;37186;180;163;41722;61;36876;53;35109;34
5795176;5963609;470;32930;130;83;30196;209;174;59320;212;175;55227;61;36400;53;34633;35
5797069;5963609;410;28666;126;79;29259;159;125;39605;165;151;40533;-1;-1;-1;-1;-1
5797070;5963609;440;30835;126;79;29259;147;125;38254;162;135;44741;57;37198;49;37207;33
5797071;5963609;442;30952;128;81;30379;147;126;38371;162;136;44858;59;38598;51;38607;34
5797072;5963609;424;29646;128;81;30379;132;113;36550;156;123;43037;58;38314;51;38324;33
5797073;5963609;419;29362;128;81;30379;132;109;36265;150;119;42752;57;38399;49;38408;32
5797074;5963609;418;29244;127;80;30133;125;107;36161;150;117;42647;57;37263;49;37273;32
5797075;5963609;421;29452;127;81;30341;132;110;36369;150;120;42856;57;37596;50;37605;32
5797076;5963609;417;29168;127;80;30243;171;145;36640;174;155;43126;58;36218;51;34451;33
5797077;5963609;419;29295;127;80;30243;171;146;36766;175;156;43253;60;36651;52;34884;33
5797078;5963609;423;29629;133;84;30386;177;151;37100;177;161;43587;60;37188;53;35421;34
5797079;5963609;422;29536;133;84;30386;177;150;37007;177;160;43494;60;37024;53;35257;34
5797080;5963609;423;29581;133;84;30386;177;150;37052;177;160;43538;61;36235;53;34468;34
5797081;5963609;422;29567;133;84;30386;177;150;37038;177;160;43525;61;36855;53;35088;34
5797082;5963609;419;29360;130;83;30196;183;166;36477;186;173;55091;61;36387;53;34620;35
5798974;5963609;390;27293;121;77;27828;144;106;37716;146;132;39160;49;33341;43;33351;27
5798975;5963609;446;31195;134;85;31832;150;130;38615;174;140;45101;57;37545;50;37554;33
