from_id;to_id;walk_t;walk_d;bike_s_t;bike_f_t;bike_d;pt_r_tt;pt_r_t;pt_r_d;pt_m_tt;pt_m_t;pt_m_d;car_r_t;car_r_d;car_m_t;car_m_d;car_sl_t
5785640;5963573;555;38856;142;90;36529;203;190;57575;221;190;57575;57;40359;51;40359;34
5785641;5963573;541;37839;150;95;35770;212;193;57781;226;181;51722;59;40570;53;40570;34
5785642;5963573;542;37918;150;95;35770;212;195;57899;226;183;51839;59;40397;53;38620;34
5785643;5963573;546;38211;159;101;37830;221;199;58192;226;187;52132;60;42953;53;41177;35
5787544;5963573;548;38367;140;88;35990;200;183;57086;209;183;57086;56;39933;50;39933;34
5787545;5963573;549;38436;140;88;35990;200;184;57155;209;184;57155;56;40220;50;40220;34
5787546;5963573;552;38662;140;88;35990;203;188;57381;221;188;57381;59;39423;53;37647;34
5787547;5963573;539;37725;150;95;35770;215;200;58280;223;188;52220;59;39814;53;38038;34
5787548;5963573;536;37500;150;95;35770;215;196;58008;220;184;51948;59;39936;53;38159;34
5787549;5963573;538;37634;150;95;35770;215;201;58300;220;189;52240;60;40179;53;38402;35
5787550;5963573;575;40216;159;101;37830;228;183;66548;244;201;68548;60;42752;53;40976;35
5789447;5963573;516;36092;130;82;33891;155;125;46082;173;144;54319;52;37744;47;37744;31
5789448;5963573;520;36373;130;82;33895;155;126;46102;173;144;54339;52;38109;47;38109;31
5789449;5963573;525;36721;132;84;34585;155;126;46163;173;145;54400;54;38534;48;38534;31
5789450;5963573;551;38603;132;84;34585;203;187;57322;221;187;57322;54;38853;48;38853;31
5789451;5963573;552;38641;140;88;35990;203;187;57360;221;187;57360;56;40180;50;40180;34
5789452;5963573;531;37161;140;88;35990;218;195;54874;217;183;48815;59;39322;52;37546;34
5789453;5963573;531;37198;150;95;35770;215;195;54911;217;183;48851;59;39499;53;37723;34
5789454;5963573;533;37284;150;95;35770;215;200;58289;217;188;52230;59;39763;52;37987;34
5789455;5963573;535;37461;159;101;37863;221;199;55174;220;187;49114;60;39984;53;38207;35
5789456;5963573;572;40056;159;101;37863;222;180;66387;244;199;58645;66;42662;59;40886;40
5791353;5963573;523;36638;128;81;33453;161;130;46442;179;149;54679;52;37334;46;37334;31
5791354;5963573;520;36406;131;83;34224;155;127;46210;179;146;54447;53;37925;47;37925;31
5791355;5963573;521;36435;131;83;34136;155;122;45871;173;141;54108;53;38106;47;38106;31
5791356;5963573;525;36783;133;84;34615;155;127;46218;179;146;54456;54;38731;48;38731;32
5791357;5963573;529;36999;132;84;34585;161;130;46287;179;148;54524;54;38845;48;38845;32
5791358;5963573;529;37050;132;84;34585;215;193;54763;214;181;48703;54;38817;48;37040;32
5791359;5963573;526;36852;132;84;34585;209;190;54565;209;190;54565;59;39140;52;37364;34
5791360;5963573;527;36907;150;95;35770;212;191;54620;211;179;48560;59;39508;52;37732;34
5791361;5963573;532;37260;159;101;37863;218;196;54973;217;184;48913;59;39862;52;38086;34
5791362;5963573;537;37571;159;101;37863;221;201;55284;220;189;49224;59;40171;53;38394;35
5791363;5963573;572;40051;159;101;37863;222;180;66382;244;199;58640;66;42558;59;40782;40
5793258;5963573;529;37024;132;84;34698;173;136;46828;185;154;55065;54;38598;48;38598;32
5793259;5963573;525;36724;132;84;34641;164;132;46527;179;150;54764;53;38438;48;38438;32
5793260;5963573;525;36758;131;83;34228;164;132;46562;179;151;54799;53;38402;47;38402;31
5793261;5963573;525;36718;132;83;34401;155;126;46006;173;144;54244;53;38183;48;38183;31
5793262;5963573;523;36618;132;84;34510;155;126;46004;173;144;54242;54;38608;48;38608;32
5793263;5963573;524;36666;132;84;34510;164;131;45587;179;149;53824;54;39714;48;39714;32
5793264;5963573;523;36597;135;86;34317;209;187;54310;209;187;54310;58;38761;52;36984;34
5793265;5963573;523;36637;135;86;34255;209;187;54350;209;187;54350;58;39093;52;37317;34
