from_id;to_id;walk_t;walk_d;bike_s_t;bike_f_t;bike_d;pt_r_tt;pt_r_t;pt_r_d;pt_m_tt;pt_m_t;pt_m_d;car_r_t;car_r_d;car_m_t;car_m_d;car_sl_t
5785640;5963574;535;37431;142;90;36512;185;172;52067;206;175;52067;59;39282;52;39282;35
5785641;5963574;520;36414;150;95;35753;192;175;52273;209;159;46964;61;39493;54;39493;35
5785642;5963574;521;36493;150;95;35753;195;177;52391;209;161;47081;61;39319;54;37543;35
5785643;5963574;526;36786;159;101;37813;206;181;52684;209;165;47374;62;41876;54;40100;35
5787544;5963574;528;36942;139;88;35973;183;165;51578;194;168;51578;58;38856;51;38856;34
5787545;5963574;529;37011;139;88;35973;183;166;51647;194;169;51647;58;39142;51;39142;34
5787546;5963574;532;37236;139;88;35973;185;169;51872;206;172;51872;61;38346;54;36569;35
5787547;5963574;519;36300;150;95;35753;200;182;52772;208;166;47462;61;38737;54;36960;35
5787548;5963574;515;36075;150;95;35753;197;178;52499;205;163;47190;61;38858;54;37082;35
5787549;5963574;517;36209;150;95;35753;200;183;52792;206;167;47482;62;39101;54;37325;35
5787550;5963574;554;38791;159;101;37813;221;181;63525;219;176;59705;62;41675;54;39898;35
5789447;5963574;495;34667;130;82;33874;142;123;43059;158;129;48811;54;36666;48;36666;31
5789448;5963574;499;34947;130;82;33877;142;123;43080;158;129;48831;54;37031;48;37031;31
5789449;5963574;504;35296;132;84;34567;142;124;43140;158;130;48892;55;37457;49;37457;32
5789450;5963574;531;37178;132;84;34567;185;169;51814;206;172;51814;55;37776;49;37776;32
5789451;5963574;532;37216;139;88;35973;185;169;51852;206;172;51852;58;39103;51;39103;34
5789452;5963574;511;35736;139;88;35973;199;177;49366;199;161;44057;60;38245;53;36468;35
5789453;5963574;511;35772;150;95;35753;197;177;49402;199;161;44093;61;38422;54;36645;35
5789454;5963574;512;35859;150;95;35753;197;178;49489;200;167;47472;61;38686;54;36909;35
5789455;5963574;515;36036;159;101;37846;203;181;49666;205;165;44356;62;38906;54;37130;35
5789456;5963574;552;38630;159;101;37846;215;178;63364;219;174;59544;68;41585;60;39809;41
5791353;5963574;503;35213;128;81;33436;145;128;43419;164;134;49170;54;36257;47;36257;31
5791354;5963574;500;34981;131;83;34206;142;125;43187;164;131;48938;55;36848;49;36848;32
5791355;5963574;500;35010;131;83;34119;136;120;42848;158;126;48600;55;37028;48;37028;32
5791356;5963574;505;35358;132;84;34597;142;125;43196;164;131;48947;56;37654;49;37654;32
5791357;5963574;508;35574;132;84;34567;145;128;43264;164;133;49016;56;37768;49;37768;32
5791358;5963574;509;35625;132;84;34567;194;175;49255;196;159;43946;56;37739;49;35963;32
5791359;5963574;506;35427;132;84;34567;188;172;49057;191;175;49057;60;38063;53;36286;35
5791360;5963574;507;35482;150;95;35753;191;173;49111;192;157;43802;60;38431;53;36654;35
5791361;5963574;512;35835;159;101;37846;199;178;49465;199;162;44156;60;38785;53;37008;35
5791362;5963574;516;36146;159;101;37846;203;183;49776;206;167;44467;61;39093;54;37317;35
5791363;5963574;552;38626;159;101;37846;215;178;63360;219;174;59539;68;41481;60;39704;41
5793258;5963574;509;35599;132;84;34680;157;134;43805;170;139;49556;56;37521;49;37521;33
5793259;5963574;504;35299;132;84;34624;149;129;43505;164;135;49256;55;37361;49;37361;32
5793260;5963574;505;35333;131;83;34210;149;130;43539;164;136;49291;55;37325;49;37325;32
5793261;5963574;504;35293;132;83;34384;142;124;42984;158;129;48735;55;37106;49;37106;32
5793262;5963574;503;35193;132;84;34493;142;124;42982;158;129;48733;56;37531;49;37531;32
5793263;5963574;503;35241;132;84;34493;149;129;42565;164;134;48316;56;38637;49;38637;32
5793264;5963574;502;35172;135;86;34300;188;169;48802;188;172;48802;60;37683;53;35907;34
5793265;5963574;503;35212;135;85;34238;188;169;48842;190;172;48842;60;38016;53;36240;34
5793266;5963574;503;35221;142;90;34283;188;169;48851;190;172;48851;60;38213;53;36437;34
5793267;5963574;514;35996;142;90;34283;203;180;49626;203;165;44316;60;39008;53;37232;34
5793268;5963574;520;36393;159;101;37846;212;189;50023;209;170;44714;61;39234;54;37458;35
5793269;5963574;550;38491;157;99;37366;227;188;64041;219;184;60220;67;38047;59;36270;40
5793270;5963574;547;38310;157;99;37366;221;185;63860;219;181;60040;67;40935;59;39159;40
5795164;5963574;510;35674;132;84;34624;157;135;43880;170;140;49631;56;37645;49;37645;33
5795165;5963574;511;35755;132;84;34624;157;136;43961;170;142;49713;56;39421;49;39421;33
5795166;5963574;510;35685;137;87;34276;157;135;43891;170;141;49643;59;39271;52;39271;34
5795167;5963574;500;34972;132;83;34417;142;125;42282;164;130;48034;56;37656;49;37656;32
5795168;5963574;500;34973;135;86;34300;142;125;42283;164;130;48035;57;38218;50;38218;33
5795169;5963574;501;35054;135;86;34300;142;126;42378;164;132;48129;57;38440;50;38440;33
5795170;5963574;499;34902;135;85;34238;188;165;48532;185;168;48532;57;37422;50;35646;33
5795171;5963574;497;34821;136;86;34141;188;164;48451;185;167;48451;60;37723;53;35947;34
5795172;5963574;502;35155;142;90;34283;188;168;48785;188;171;48785;60;38166;53;36389;34
5795173;5963574;505;35384;142;90;34283;188;172;49014;190;175;49014;60;38256;53;36480;34
5795174;5963574;503;35194;142;90;34283;188;169;48824;188;172;48824;61;37890;53;36114;35
5795175;5963574;502;35131;142;90;34283;188;168;48761;188;171;48761;61;38027;53;36251;35
5795176;5963574;548;38347;139;88;34094;221;186;63897;219;182;60076;61;37551;54;35775;35
5797069;5963574;481;33703;126;80;32744;175;131;41636;180;169;51608;-1;-1;-1;-1;-1
5797070;5963574;512;35872;126;80;32744;157;138;44078;170;143;49830;57;37923;50;37923;33
