from_id;to_id;walk_t;walk_d;bike_s_t;bike_f_t;bike_d;pt_r_tt;pt_r_t;pt_r_d;pt_m_tt;pt_m_t;pt_m_d;car_r_t;car_r_d;car_m_t;car_m_d;car_sl_t
5785640;5963657;436;30491;127;81;30761;137;126;31430;156;125;35373;58;31826;51;31863;32
5785641;5963657;398;27874;126;80;28156;146;129;31636;163;127;31636;59;32036;52;32074;32
5785642;5963657;399;27954;126;80;28156;148;131;31754;163;129;31754;59;31438;52;29699;32
5785643;5963657;404;28246;135;85;30216;156;135;32047;163;133;32047;60;35475;52;35353;32
5787544;5963657;429;30001;124;79;30221;135;119;30941;145;118;34884;58;31400;51;31437;31
5787545;5963657;430;30070;124;79;30221;135;120;31010;145;119;34953;58;31686;51;31724;31
5787546;5963657;433;30296;124;79;30221;137;123;31236;156;122;35179;59;30464;51;28725;32
5787547;5963657;397;27760;126;80;28156;152;136;32135;162;134;32135;59;30855;51;29116;32
5787548;5963657;393;27535;126;80;28156;150;132;31863;159;130;31863;59;30976;52;29238;32
5787549;5963657;395;27669;126;80;28156;152;137;32155;160;135;32155;60;31220;52;29481;32
5787550;5963657;432;30252;135;85;30216;159;125;35106;156;113;41539;60;35274;52;35152;32
5789447;5963657;389;27234;115;73;27459;98;81;33360;111;79;32117;53;29210;47;29247;28
5789448;5963657;389;27231;115;73;27456;98;81;33380;111;79;32137;54;29575;47;29612;28
5789449;5963657;390;27292;115;73;27592;98;82;33441;111;80;32198;55;30001;48;30038;29
5789450;5963657;432;30238;115;73;27592;137;123;31177;156;121;35120;55;30319;48;30357;29
5789451;5963657;433;30276;124;79;30221;137;123;31216;156;122;35158;58;31647;51;31684;31
5789452;5963657;389;27196;124;79;30221;150;131;28730;153;129;28730;59;30363;51;28624;31
5789453;5963657;389;27233;126;80;28156;150;131;28766;153;129;28766;59;30540;51;28801;32
5789454;5963657;390;27320;126;80;28156;150;132;28853;155;134;32145;59;30804;51;29065;32
5789455;5963657;393;27496;135;85;30249;154;135;29029;159;133;29029;60;31025;52;29286;32
5789456;5963657;430;30091;135;85;30249;154;123;34945;156;111;41378;62;35184;55;35062;36
5791353;5963657;394;27594;113;72;27765;101;86;33720;117;84;32477;53;28800;46;28838;28
5791354;5963657;391;27362;114;72;27302;98;83;33488;117;80;32245;54;29391;48;29429;29
5791355;5963657;384;26885;114;72;27214;92;78;33149;111;76;31906;54;29572;47;29610;29
5791356;5963657;385;26947;114;72;27162;98;83;33497;117;81;32254;55;30197;48;30235;29
5791357;5963657;386;27034;115;73;27592;101;85;33565;117;83;32322;55;30311;48;30349;29
5791358;5963657;387;27085;115;73;27592;148;129;28618;151;127;28618;55;29858;48;28119;29
5791359;5963657;384;26888;115;73;27592;141;126;28421;142;125;32363;59;30181;51;28442;31
5791360;5963657;385;26942;126;80;28156;145;127;28475;146;125;28475;59;30549;51;28810;31
5791361;5963657;390;27295;135;85;30249;150;132;28828;153;130;28828;59;30903;51;29164;31
5791362;5963657;394;27606;135;85;30249;154;136;29139;160;134;29139;59;31212;52;29473;32
5791363;5963657;430;30086;135;85;30249;154;123;34940;156;111;41373;62;35080;55;34958;36
5793258;5963657;400;27980;117;74;28259;108;91;34106;122;89;32863;55;30065;48;30102;29
5793259;5963657;395;27680;117;74;28203;103;87;33806;117;85;32562;54;29905;48;29942;29
5793260;5963657;396;27714;116;73;27789;103;88;33840;117;85;32597;54;29868;48;29906;29
5793261;5963657;382;26758;113;72;26949;98;81;33284;111;79;32042;55;29649;48;29687;29
5793262;5963657;381;26653;114;72;26991;98;81;33283;111;79;32040;55;30074;48;30112;29
5793263;5963657;381;26701;114;72;26991;105;86;32866;117;84;31622;55;31180;48;31218;29
5793264;5963657;380;26632;113;71;26703;141;123;28165;140;121;32108;58;29802;51;28063;31
5793265;5963657;381;26672;112;71;26641;141;123;28206;141;122;32148;58;30134;51;28395;31
5793266;5963657;381;26682;118;75;26686;141;123;28215;141;122;32157;58;30331;51;28593;31
5793267;5963657;392;27456;118;75;26686;152;134;28989;158;132;28989;58;31126;51;29387;31
5793268;5963657;398;27854;135;85;30249;161;142;29387;163;138;29387;59;31353;52;29614;32
5793269;5963657;428;29951;132;84;29769;166;133;35622;156;120;42054;62;30165;55;28426;37
5793270;5963657;425;29771;132;84;29769;161;130;35441;156;118;41874;62;33054;55;35156;37
5795164;5963657;401;28055;117;74;28203;110;93;34181;122;90;32938;55;30189;48;30226;29
5795165;5963657;402;28136;117;74;28203;112;94;34262;122;91;33019;55;31965;48;32002;29
5795166;5963657;401;28066;113;71;26679;110;93;34192;122;90;32949;58;31814;51;31852;31
5795167;5963657;378;26432;113;72;26916;98;82;32583;117;80;31340;55;30200;48;30237;29
5795168;5963657;378;26433;113;71;26703;98;82;32584;117;80;31341;56;30762;50;30799;30
5795169;5963657;379;26514;113;71;26703;98;84;32678;117;81;31435;56;30984;50;31021;30
5795170;5963657;377;26362;112;71;26641;141;119;27895;137;118;31838;56;29541;49;27802;30
5795171;5963657;375;26281;112;71;26544;141;118;27814;137;116;31757;58;29842;51;28103;31
5795172;5963657;380;26616;118;75;26686;141;122;28149;140;121;32092;58;30284;51;28545;31
5795173;5963657;383;26844;118;75;26686;141;126;28377;141;125;32320;58;30375;51;28636;31
5795174;5963657;381;26654;118;75;26686;141;123;28187;140;122;32130;59;30009;51;28270;32
5795175;5963657;380;26591;118;75;26686;141;122;28124;140;121;32067;59;30146;51;28407;32
5795176;5963657;426;29807;115;73;26497;161;131;35478;156;118;41910;59;29669;52;27930;32
5797069;5963657;386;27013;111;70;27073;121;82;27472;126;112;28643;-1;-1;-1;-1;-1
5797070;5963657;404;28253;111;70;27073;112;95;34379;122;93;33136;56;30467;49;30505;30
5797071;5963657;405;28370;113;71;26679;112;97;34496;122;95;33253;58;31867;51;31905;31
5797072;5963657;379;26524;113;71;26679;98;84;32675;117;81;31432;58;31584;51;31621;31
5797073;5963657;375;26239;113;71;26679;98;79;32390;111;77;31147;56;31668;49;31706;30
5797074;5963657;373;26121;112;71;26434;92;78;32285;111;76;31042;56;30533;49;30570;30
5797075;5963657;376;26329;112;71;26641;98;81;32494;111;79;31251;56;30865;49;30903;30
5797076;5963657;372;26045;112;71;26544;137;114;27578;134;113;31521;57;29488;50;27749;31
5797077;5963657;374;26172;112;71;26544;137;116;27705;135;115;31648;58;29920;51;28181;31
5797078;5963657;379;26506;118;75;26686;141;121;28039;137;120;31982;58;30457;51;28718;31
5797079;5963657;377;26413;118;75;26686;141;119;27946;137;118;31889;58;30294;51;28555;31
5797080;5963657;378;26458;118;75;26686;141;120;27991;137;119;31934;59;29505;51;27766;32
5797081;5963657;378;26444;118;75;26686;141;120;27977;137;119;31920;59;30125;51;28386;32
5797082;5963657;375;26237;115;73;26497;145;129;35341;146;116;41774;59;29656;52;27917;32
5798974;5963657;366;25640;106;67;25642;106;62;26100;108;92;27270;48;26611;43;26648;25
5798975;5963657;409;28613;119;76;28896;115;100;34739;134;98;33496;56;30814;49;30852;30
5798976;5963657;409;28608;119;76;28896;115;100;34734;134;98;33491;56;30702;49;30739;30
5798977;5963657;409;28615;113;71;26679;115;101;34741;134;98;33498;57;31907;50;31945;31
5798978;5963657;372;26054;111;70;26103;98;81;32213;111;79;30970;57;31378;50;31416;31
5798979;5963657;370;25877;110;70;25992;95;78;32036;111;76;30793;58;31736;51;31774;31
5798980;5963657;370;25877;111;70;26111;95;78;32036;111;76;30793;56;30896;49;30934;30
5798981;5963657;374;26149;112;71;26411;98;82;32308;117;80;31065;57;31284;50;31322;31
5798982;5963657;370;25878;112;71;26544;133;112;27411;130;111;33359;57;29348;50;27609;31
5798983;5963657;368;25752;112;71;26544;133;110;27285;128;109;33233;57;29288;50;27549;30
5798984;5963657;368;25745;115;73;25954;130;111;32464;128;109;33226;57;29280;50;27541;30
5798985;5963657;373;26110;115;73;25954;137;115;27643;134;114;31586;58;29172;50;27433;31
5798986;5963657;371;25972;118;75;26686;133;113;27505;133;112;31448;58;29438;50;27699;31
5798987;5963657;375;26228;118;75;26686;137;117;27761;137;116;31704;59;29897;51;28158;32
5798988;5963657;369;25822;113;72;25963;140;130;35407;142;117;41840;58;29132;51;27393;31
5800879;5963657;359;25144;105;66;25305;90;62;25603;99;85;26774;49;26332;43;26369;25
5800880;5963657;363;25423;106;67;25638;96;66;25882;104;89;27053;48;26607;43;26644;25
5800881;5963657;412;28818;106;67;25638;118;103;34944;134;101;33701;56;26235;49;26272;30
5800882;5963657;371;25965;119;76;28896;112;100;32983;127;98;31740;58;33409;51;33447;31
5800883;5963657;371;26001;112;71;26425;117;100;33018;132;98;31775;58;33186;51;33224;31
5800884;5963657;370;25922;111;70;26102;98;79;32106;111;77;30863;57;31195;50;31232;30
5800885;5963657;367;25658;110;70;26091;89;76;31879;111;74;30636;56;30898;50;30935;30
5800886;5963657;364;25510;110;70;26088;92;78;32022;111;76;30779;56;31189;50;31226;30
5800887;5963657;366;25631;112;71;26411;98;82;32296;111;80;31053;56;31273;50;31310;30
5800888;5963657;358;25088;111;71;25201;120;102;31808;123;99;30564;56;28464;49;26725;30
5800889;5963657;364;25492;111;71;25201;127;107;32211;125;105;30968;57;29053;50;27314;30
5800890;5963657;365;25568;112;71;25324;127;108;32287;127;106;31044;57;28966;50;27227;30
5800891;5963657;368;25779;115;73;25897;133;110;27312;130;109;33261;57;28843;50;27104;30
5800892;5963657;367;25716;115;73;25954;130;111;32435;127;108;33198;58;29317;50;27578;31
5800893;5963657;370;25878;115;73;25954;133;112;27411;130;111;33359;58;29858;50;28119;31
5800894;5963657;368;25731;113;72;25963;138;128;26909;137;121;42098;58;29138;51;27399;31
5800895;5963657;364;25491;112;71;25794;136;130;35425;135;118;41858;58;29038;50;27299;31
5802783;5963657;358;25046;104;66;25055;86;61;25505;98;84;26676;49;26329;43;26366;25
5802784;5963657;356;24927;104;66;25055;83;59;25386;98;82;26557;49;26299;43;26337;25
5802785;5963657;360;25205;106;67;25626;92;63;25665;99;86;26836;49;25805;43;25843;25
5802786;5963657;373;26102;106;67;25638;120;102;33120;132;99;31877;58;25987;51;26025;31
5802787;5963657;370;25865;106;67;25638;112;98;32883;127;96;31640;58;33220;51;33258;31
5802788;5963657;367;25667;112;71;26435;112;95;32685;122;93;33447;58;32973;50;33011;31
5802789;5963657;367;25668;112;71;26435;112;95;32685;122;93;33448;57;31436;50;31473;31
