from_id;to_id;walk_t;walk_d;bike_s_t;bike_f_t;bike_d;pt_r_tt;pt_r_t;pt_r_d;pt_m_tt;pt_m_t;pt_m_d;car_r_t;car_r_d;car_m_t;car_m_d;car_sl_t
5785640;5963608;459;32111;141;89;32804;177;159;40402;202;171;44436;63;39120;54;39120;36
5785641;5963608;439;30715;140;89;31633;185;162;40608;206;162;41147;65;39331;56;39331;36
5785642;5963608;440;30794;140;89;31633;189;164;40726;206;163;41265;65;38732;56;36956;36
5785643;5963608;444;31088;149;94;33693;200;168;41019;206;168;41558;65;41289;56;39512;36
5787544;5963608;452;31622;138;88;32265;176;152;39913;189;164;43947;62;38694;54;38694;35
5787545;5963608;453;31691;138;88;32265;176;153;39982;189;165;44016;62;38980;54;38980;35
5787546;5963608;456;31917;138;88;32265;177;156;40208;202;168;44242;65;37758;56;35982;35
5787547;5963608;437;30601;140;89;31633;194;169;41107;205;169;41646;65;38149;56;36373;35
5787548;5963608;434;30376;140;89;31633;190;165;40835;202;165;41374;65;38271;56;36494;36
5787549;5963608;436;30510;140;89;31633;194;169;41127;204;169;41666;65;38514;56;36737;36
5787550;5963608;473;33092;149;94;33693;210;170;62098;213;170;48053;65;41087;56;39311;36
5789447;5963608;419;29348;129;82;30166;135;112;37146;153;123;43130;58;36504;50;36504;32
5789448;5963608;423;29628;129;82;30169;135;113;37166;153;124;43150;58;36869;50;36869;32
5789449;5963608;428;29976;129;82;30859;135;114;37227;153;124;43211;59;37295;51;37295;33
5789450;5963608;455;31858;129;82;30859;177;155;40149;202;167;44183;59;37613;51;37613;33
5789451;5963608;456;31897;138;88;32265;177;156;40187;202;168;44222;62;38941;54;38941;35
5789452;5963608;429;30037;138;88;32265;190;163;37701;196;163;38240;64;37657;55;35881;35
5789453;5963608;430;30074;140;89;31633;190;164;37738;196;164;38277;65;37834;56;36058;35
5789454;5963608;431;30160;140;89;31633;190;165;37825;198;169;41655;64;38098;56;36322;35
5789455;5963608;433;30337;149;94;33726;196;168;38001;202;168;38540;65;38319;56;36543;36
5789456;5963608;470;32932;149;94;33726;203;168;61938;214;168;47892;71;40998;62;39221;42
5791353;5963608;427;29893;127;81;29727;137;118;37506;159;128;43490;57;36095;49;36095;32
5791354;5963608;424;29661;129;81;30498;135;114;37274;159;125;43258;59;36686;51;36686;33
5791355;5963608;424;29690;128;81;30411;128;112;37520;153;120;42919;58;36866;50;36866;32
5791356;5963608;426;29788;128;81;30639;135;114;37283;159;125;43266;59;37492;51;37492;33
5791357;5963608;427;29875;129;82;30859;137;117;37351;159;128;43335;59;37605;51;37605;33
5791358;5963608;428;29926;129;82;30859;186;162;37590;193;162;38129;59;37152;51;35375;33
5791359;5963608;425;29728;129;82;30859;180;159;37392;187;171;41427;64;37475;55;35699;35
5791360;5963608;425;29783;140;89;31633;183;160;37447;189;160;37986;64;37843;55;36067;35
5791361;5963608;431;30136;149;94;33726;190;165;37800;196;165;38339;64;38197;55;36421;35
5791362;5963608;435;30447;149;94;33726;196;169;38111;204;169;38650;65;38506;56;36729;36
5791363;5963608;470;32927;149;94;33726;203;168;61933;214;168;47887;71;40893;62;39117;42
5793258;5963608;433;30279;131;83;30972;147;123;37892;165;134;43876;59;37359;51;37359;33
5793259;5963608;428;29979;131;83;30916;141;119;37592;159;130;43575;59;37199;51;37199;33
5793260;5963608;429;30014;130;82;30502;141;119;37626;159;130;43610;59;37163;51;37163;33
5793261;5963608;423;29599;127;81;30426;135;113;37070;153;124;43054;59;36944;51;36944;33
5793262;5963608;421;29494;128;81;30468;135;113;37069;153;124;43052;59;37368;51;37368;33
5793263;5963608;422;29542;128;81;30468;143;118;36652;159;129;42635;59;38474;51;38474;33
5793264;5963608;421;29473;127;80;30180;180;155;37137;183;167;41171;64;37096;55;35320;35
5793265;5963608;422;29513;126;80;30118;180;156;37177;185;168;41212;64;37429;55;35652;35
5793266;5963608;422;29522;132;83;30163;180;156;37186;185;168;41221;64;37626;55;35849;35
5793267;5963608;433;30297;132;83;30163;194;167;37961;201;167;38500;64;38421;55;36644;35
5793268;5963608;438;30694;149;94;33726;205;185;45252;206;173;38898;65;38647;56;36871;36
5793269;5963608;468;32792;147;93;33246;217;177;62614;213;177;48568;70;37459;61;35683;41
5793270;5963608;466;32612;147;93;33246;211;175;62433;213;175;48388;70;40348;61;38572;41
5795164;5963608;434;30354;131;83;30916;149;124;37967;165;135;43950;59;37483;51;37483;33
5795165;5963608;435;30436;131;83;30916;150;125;38048;165;136;44032;59;39259;51;39259;33
5795166;5963608;434;30366;127;80;30156;149;124;37978;165;135;43962;62;39108;54;39108;35
5795167;5963608;418;29273;127;81;30393;135;114;36369;159;125;42353;60;37494;51;37494;33
5795168;5963608;418;29274;127;80;30180;135;114;36370;159;125;42354;61;38056;53;38056;34
5795169;5963608;419;29355;127;80;30180;135;115;36464;159;126;42448;61;38278;53;38278;34
5795170;5963608;417;29203;126;80;30118;180;152;36867;180;162;42851;61;36835;52;35058;34
5795171;5963608;416;29122;126;80;30021;180;150;36786;180;161;42770;64;37136;55;35359;35
5795172;5963608;421;29457;132;83;30163;180;155;37121;183;167;41155;64;37578;55;35802;35
5795173;5963608;424;29685;132;83;30163;180;158;37349;185;170;41383;64;37669;55;35893;35
5795174;5963608;421;29495;132;83;30163;180;156;37159;183;167;41193;64;37303;56;35527;35
5795175;5963608;420;29432;132;83;30163;180;155;37096;183;167;41130;64;37440;56;35663;35
5795176;5963608;466;32648;129;82;29974;211;175;62470;213;175;48424;65;36964;56;35187;36
5797069;5963608;405;28384;125;79;29036;164;130;39923;170;156;40851;-1;-1;-1;-1;-1
5797070;5963608;436;30552;125;79;29036;150;127;38165;165;138;44149;60;37761;52;37761;34
5797071;5963608;438;30670;127;80;30156;150;129;38282;165;140;44266;63;39161;54;39161;35
5797072;5963608;419;29364;127;80;30156;135;115;36461;159;126;42444;62;38878;54;38878;35
5797073;5963608;415;29080;127;80;30156;135;111;36176;153;122;42160;60;38962;52;38962;33
5797074;5963608;414;28962;126;80;29911;128;113;36656;153;121;42055;60;37827;52;37827;33
5797075;5963608;417;29170;126;80;30118;135;113;36280;153;123;42264;61;38160;52;38160;34
5797076;5963608;413;28886;126;80;30021;175;147;36550;177;158;42534;62;36782;53;35005;35
5797077;5963608;414;29013;126;80;30021;175;149;36677;179;160;42661;64;37214;55;35438;35
5797078;5963608;419;29347;132;83;30163;180;154;37011;180;164;42994;64;37751;55;35975;35
5797079;5963608;418;29254;132;83;30163;180;152;36918;180;163;42902;64;37588;55;35812;35
5797080;5963608;419;29298;132;83;30163;180;153;36962;180;164;42946;64;36799;56;35022;35
5797081;5963608;418;29285;132;83;30163;180;153;36949;180;163;42932;64;37419;56;35642;35
5797082;5963608;415;29078;129;82;29974;187;173;62333;190;173;48288;65;36950;56;35174;36
5798974;5963608;386;27011;120;76;27605;149;110;38034;151;136;39478;53;33905;46;33905;29
5798975;5963608;442;30913;134;85;31609;154;132;38525;177;143;44509;61;38108;52;38108;34
5798976;5963608;442;30907;134;85;31609;154;132;38520;177;143;44504;60;37996;52;37996;34
5798977;5963608;442;30914;127;80;30156;154;132;38527;177;143;44510;62;39201;53;39201;35
5798978;5963608;413;28894;125;79;29580;135;112;35999;153;123;41983;62;38672;53;38672;35
5798979;5963608;410;28718;124;79;29469;131;113;36407;153;121;41806;62;39031;54;39031;35
5798980;5963608;410;28718;125;79;29588;131;113;36408;153;121;41806;61;38190;52;38190;34
5798981;5963608;414;28990;126;80;29888;135;114;36094;159;125;42078;62;38578;53;38578;35
5798982;5963608;410;28718;126;80;30021;169;145;36382;173;155;42366;62;36642;53;34866;35
5798983;5963608;408;28593;126;80;30021;169;143;36257;171;154;42241;63;36582;54;34806;34
5798984;5963608;408;28586;129;82;29431;167;143;36250;171;154;42234;63;36574;54;34797;34
5798985;5963608;414;28951;129;82;29431;175;148;36615;177;159;42598;63;36466;54;34690;34
5798986;5963608;412;28813;132;83;30163;169;146;36477;176;157;42460;63;36732;54;34955;34
5798987;5963608;415;29069;132;83;30163;175;150;36733;180;160;42716;64;37191;56;35415;35
5798988;5963608;409;28662;127;81;29440;178;162;35972;186;174;48353;64;36426;55;34650;35
5800879;5963608;379;26515;119;75;27267;131;102;36628;141;129;38982;54;33626;46;33626;29
5800880;5963608;383;26793;120;76;27601;137;106;36907;146;133;39261;53;33901;46;33901;29
5800881;5963608;445;31117;120;76;27601;156;135;38730;177;146;44714;61;33529;52;33529;34
5800882;5963608;412;28806;134;85;31609;150;131;36769;170;142;42752;64;40703;55;40703;35
5800883;5963608;412;28842;126;80;29902;156;132;36804;176;143;42788;64;40481;55;40481;35
5800884;5963608;411;28763;125;79;29579;135;111;35892;153;122;41876;61;38489;53;38489;34
5800885;5963608;407;28499;125;79;29567;126;111;36250;153;118;41649;61;38192;52;38192;34
5800886;5963608;405;28351;125;79;29565;128;113;36393;153;121;41792;61;38483;53;38483;34
5800887;5963608;407;28472;126;80;29888;135;114;36082;153;124;42065;61;38567;53;38567;34
5800888;5963608;399;27930;126;79;28678;158;133;35594;165;144;41577;62;35758;53;33982;34
5800889;5963608;405;28333;126;79;28678;165;139;35997;168;150;41981;63;36347;54;34571;34
5800890;5963608;406;28409;126;80;28801;165;140;36073;170;151;42057;63;36260;54;34484;34
5800891;5963608;409;28620;129;81;29374;169;143;36284;173;154;42268;63;36137;54;34361;34
5800892;5963608;408;28557;129;82;29431;167;142;36221;170;153;42205;63;36611;54;34835;34
5800893;5963608;410;28718;129;82;29431;169;145;36382;173;155;42366;63;37152;54;35376;34
5800894;5963608;408;28572;127;81;29440;176;161;35881;180;173;35633;64;36432;55;34656;35
5800895;5963608;405;28332;126;80;29271;174;158;35642;177;169;35393;63;36332;55;34556;35
5802783;5963608;377;26416;118;75;27017;127;100;36530;140;128;38884;54;33623;46;33623;29
5802784;5963608;376;26297;118;75;27017;123;99;36410;140;126;38765;54;33593;46;33593;29
5802785;5963608;380;26576;120;76;27589;133;103;36689;141;130;39043;54;33099;46;33099;29
5802786;5963608;413;28943;120;76;27601;158;133;36906;176;144;42890;64;33281;55;33281;35
5802787;5963608;410;28706;120;76;27601;150;130;36669;170;141;42652;64;40514;55;40514;35
5802788;5963608;407;28508;126;80;29912;150;127;36471;165;138;42454;63;40268;55;40268;35
5802789;5963608;407;28509;126;80;29912;150;127;36471;165;138;42455;62;38730;53;38730;34
5802790;5963608;408;28577;126;80;29962;135;111;35914;153;122;41898;62;38253;53;38253;34
5802791;5963608;401;28079;122;78;28990;131;113;35857;153;121;41256;61;38526;53;38526;34
5802792;5963608;405;28315;122;78;28990;135;113;35508;153;124;41492;62;38828;53;38828;34
5802793;5963608;396;27701;126;79;28678;150;130;35365;161;141;41349;62;35699;53;33923;34
5802794;5963608;401;28037;126;79;28678;158;135;35701;167;146;41685;62;35985;54;34208;34
5802795;5963608;401;28037;126;80;28801;158;135;35701;167;146;41685;63;35986;54;34209;34
5802796;5963608;402;28151;129;81;29361;158;136;35815;167;147;41799;62;36182;54;34405;34
5802797;5963608;407;28512;129;82;29416;165;142;36176;170;152;42160;63;36502;54;34726;34
5802798;5963608;410;28687;127;81;29088;169;144;36351;173;155;42335;63;36245;55;34469;34
5802799;5963608;400;28015;125;79;28852;170;153;35324;173;165;35076;62;35746;54;33969;34
5802800;5963608;399;27936;125;79;28951;170;152;35245;170;165;48933;63;35914;54;34137;35
5802801;5963608;404;28304;126;80;29120;174;157;35613;177;169;35365;63;36273;54;34496;35
5804689;5963608;375;26250;118;75;26924;119;98;36364;134;117;38121;55;33314;47;33314;30
5804690;5963608;373;26080;118;75;26698;118;96;36193;137;123;38547;54;33306;46;33306;29
5804691;5963608;375;26280;122;77;26909;131;103;36718;140;128;37445;52;33289;45;33289;28
5804692;5963608;378;26473;124;79;26998;137;106;36910;141;131;37638;54;33728;47;33728;30
5804693;5963608;410;28707;124;79;26998;150;130;36670;170;141;42653;63;40578;55;40578;34
