from_id;to_id;walk_t;walk_d;bike_s_t;bike_f_t;bike_d;pt_r_tt;pt_r_t;pt_r_d;pt_m_tt;pt_m_t;pt_m_d;car_r_t;car_r_d;car_m_t;car_m_d;car_sl_t
5785640;5963586;512;35872;140;89;36369;189;176;42750;206;175;53065;62;38967;54;38967;36
5785641;5963586;497;34823;148;94;35610;197;179;42956;211;171;47380;64;39178;56;39178;36
5785642;5963586;499;34903;148;94;35610;200;181;43074;211;172;47498;64;39004;56;37228;36
5785643;5963586;503;35196;157;99;37670;210;185;43366;211;176;47791;64;41561;56;39785;36
5787544;5963586;505;35382;137;87;35830;187;169;42260;194;168;52576;61;38541;53;38541;36
5787545;5963586;506;35451;137;87;35830;187;170;42330;194;169;52645;61;38828;53;38828;36
5787546;5963586;510;35677;137;87;35830;189;173;42555;206;172;52870;63;38031;56;36254;36
5787547;5963586;496;34709;148;94;35610;205;186;43455;210;178;47880;63;38422;56;36645;36
5787548;5963586;493;34484;148;94;35610;202;182;43182;207;174;47607;64;38543;56;36767;36
5787549;5963586;495;34618;148;94;35610;205;186;43474;210;178;47899;64;38786;56;37010;36
5787550;5963586;531;37201;157;99;37670;227;187;63339;217;174;47113;64;41360;56;39583;36
5789447;5963586;473;33108;128;81;33731;147;129;42873;160;128;49809;57;36351;50;36351;33
5789448;5963586;477;33388;128;81;33735;147;130;42894;160;129;49829;57;36716;50;36716;33
5789449;5963586;482;33736;130;82;34425;147;131;42954;160;130;49890;58;37142;51;37142;33
5789450;5963586;509;35618;130;82;34425;189;172;42497;206;171;52812;58;37461;51;37461;33
5789451;5963586;509;35657;137;87;35830;189;173;42535;206;172;52850;61;38788;53;38788;36
5789452;5963586;488;34145;137;87;35830;203;180;40049;203;172;44474;63;37930;55;36154;36
5789453;5963586;488;34182;148;94;35610;202;181;40085;203;173;44510;63;38107;56;36330;36
5789454;5963586;490;34269;148;94;35610;202;182;40172;204;178;47889;63;38371;56;36594;36
5789455;5963586;492;34445;157;99;37703;208;185;40348;207;176;44773;64;38591;56;36815;37
5789456;5963586;529;37040;157;99;37703;220;185;63178;217;172;46952;70;41270;62;39494;42
5791353;5963586;481;33654;126;80;33293;150;135;43233;166;134;50169;56;35942;49;35942;32
5791354;5963586;477;33421;129;82;34064;147;131;43001;166;130;49936;58;36533;51;36533;33
5791355;5963586;478;33451;129;81;33976;141;126;42662;160;125;49598;57;36714;50;36714;33
5791356;5963586;483;33798;130;82;34455;147;131;43010;166;130;49946;58;37339;51;37339;33
5791357;5963586;485;33983;130;82;34425;150;134;43078;166;133;50014;58;37453;51;37453;33
5791358;5963586;486;34034;130;82;34425;199;179;39938;200;170;44362;58;37424;51;35648;33
5791359;5963586;483;33837;130;82;34425;192;176;39740;194;175;50055;63;37748;55;35971;36
5791360;5963586;484;33891;148;94;35610;195;177;39794;197;168;44219;63;38116;55;36339;36
5791361;5963586;489;34244;157;99;37703;203;182;40148;203;173;44572;63;38470;55;36694;36
5791362;5963586;494;34555;157;99;37703;208;186;40459;210;178;44884;64;38778;56;37002;36
5791363;5963586;529;37035;157;99;37703;220;185;63174;217;172;46947;70;41166;62;39389;42
5793258;5963586;486;34040;130;82;34538;162;140;43619;171;139;50555;58;37206;51;37206;34
5793259;5963586;482;33739;130;82;34481;154;136;43319;166;135;50254;58;37046;51;37046;33
5793260;5963586;482;33774;129;81;34068;154;136;43353;166;135;50289;58;37010;51;37010;33
5793261;5963586;482;33707;129;82;34241;147;130;42798;160;129;49733;58;36791;51;36791;33
5793262;5963586;480;33602;130;82;34350;147;130;42796;160;129;49731;58;37216;51;37216;33
5793263;5963586;481;33650;130;82;34350;154;135;42379;166;134;49314;58;38322;51;38322;33
5793264;5963586;480;33581;133;84;34157;192;172;39484;191;171;49800;62;37369;55;35592;35
5793265;5963586;480;33622;133;84;34095;192;173;39525;192;172;49840;62;37701;55;35925;35
5793266;5963586;480;33631;140;88;34140;192;173;39534;192;172;49849;63;37898;55;36122;36
5793267;5963586;492;34405;140;88;34140;208;184;40309;205;176;44734;63;38693;55;36917;36
5793268;5963586;497;34803;157;99;37703;217;193;50145;211;181;45131;64;38919;56;37143;36
5793269;5963586;527;36900;154;98;37223;233;194;63855;217;181;47628;69;37732;61;35955;42
5793270;5963586;525;36720;154;98;37223;226;192;63674;217;179;47448;69;40621;61;38844;42
5795164;5963586;487;34114;130;82;34481;162;141;43694;171;140;50630;58;37330;51;37330;34
5795165;5963586;489;34196;130;82;34481;162;142;43775;171;141;50711;58;39106;51;39106;34
5795166;5963586;488;34126;135;85;34133;162;141;43705;171;140;50641;61;38956;54;38956;36
5795167;5963586;477;33381;130;82;34275;147;131;42096;166;130;49032;58;37341;51;37341;34
5795168;5963586;477;33382;133;84;34157;147;131;42097;166;130;49033;60;37903;52;37903;35
5795169;5963586;478;33463;133;84;34157;147;132;42192;166;131;49127;60;38125;52;38125;35
5795170;5963586;476;33311;133;84;34095;192;168;39215;187;167;49530;59;37107;52;35331;35
5795171;5963586;475;33230;133;84;33998;192;167;39134;187;166;49449;62;37408;55;35632;35
5795172;5963586;479;33565;140;88;34140;192;172;39468;191;171;49783;63;37851;55;36074;36
5795173;5963586;483;33793;140;88;34140;192;175;39697;192;174;50012;63;37942;55;36165;36
5795174;5963586;480;33603;140;88;34140;192;173;39506;191;172;49822;63;37576;55;35799;36
5795175;5963586;479;33540;140;88;34140;192;172;39444;191;171;49759;63;37712;55;35936;36
